,Player,Nation,Pos,Age,playing_time_MP,playing_time_Starts,playing_time_Min,playing_time_90s,performance_Gls,performance_Ast,performance_G+A,performance_G-PK,performance_PK,performance_PKatt,performance_CrdY,performance_CrdR,expected_xG,expected_npxG,expected_xAG,expected_npxG+xAG,progression_PrgC,progression_PrgP,progression_PrgR,per_90_minutes_Gls,per_90_minutes_Ast,per_90_minutes_G+A,per_90_minutes_G-PK,per_90_minutes_G+A-PK,per_90_minutes_xG,per_90_minutes_xAG,per_90_minutes_xG+xAG,per_90_minutes_npxG,per_90_minutes_npxG+xAG,Matches,Team,Season,MP
315,Martial Godo,eng ENG,FW,22-056,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,2024,
316,Carlos Vinícius,br BRA,"MF,FW",30-045,3.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,Fulham,2024,
317,Jay Stansfield,eng ENG,MF,22-166,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,2024,
318,Samuel Amissah,eng ENG,DF,18-063,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham,2024,
319,Steven Benda,de GER,GK,26-220,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham,2024,
320,Dara O'Shea,ie IRL,DF,26-066,,32,2852.0,31.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.2,1.2,0.5,1.7,3.0,71.0,8.0,0.0,0.06,0.06,0.0,0.06,0.04,0.02,0.05,0.04,0.05,Matches,Ipswich Town,2024,32.0
321,Liam Delap,eng ENG,FW,22-090,,31,2491.0,27.7,12.0,2.0,14.0,10.0,2.0,2.0,10.0,0.0,9.3,7.7,1.9,9.6,60.0,30.0,105.0,0.43,0.07,0.51,0.36,0.43,0.34,0.07,0.4,0.28,0.35,Matches,Ipswich Town,2024,34.0
322,Leif Davis,eng ENG,DF,25-117,,30,2563.0,28.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,4.3,5.2,48.0,55.0,117.0,0.04,0.07,0.11,0.04,0.11,0.03,0.15,0.18,0.03,0.18,Matches,Ipswich Town,2024,31.0
323,Sam Morsy,eg EGY,MF,33-241,,28,2486.0,27.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.3,0.3,0.8,1.2,16.0,104.0,9.0,0.04,0.04,0.07,0.04,0.07,0.01,0.03,0.04,0.01,0.04,Matches,Ipswich Town,2024,30.0
324,Omari Hutchinson,eng ENG,"MF,FW",21-191,,27,2313.0,25.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,2.4,2.4,2.7,5.1,74.0,71.0,135.0,0.12,0.08,0.19,0.12,0.19,0.09,0.11,0.2,0.09,0.2,Matches,Ipswich Town,2024,28.0
325,Jens Cajuste,se SWE,MF,25-272,,23,1783.0,19.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.6,1.1,23.0,46.0,16.0,0.05,0.0,0.05,0.05,0.05,0.02,0.03,0.06,0.02,0.06,Matches,Ipswich Town,2024,27.0
326,Jacob Greaves,eng ENG,DF,24-239,,22,1935.0,21.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.0,1.3,7.0,53.0,8.0,0.05,0.0,0.05,0.05,0.05,0.06,0.0,0.06,0.06,0.06,Matches,Ipswich Town,2024,22.0
327,Arijanet Muric,xk KVX,GK,26-183,,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,18.0
328,Axel Tuanzebe,cd COD,DF,27-176,,17,1446.0,16.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.3,0.5,9.0,46.0,8.0,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,Matches,Ipswich Town,2024,19.0
329,Cameron Burgess,au AUS,DF,29-200,,15,1451.0,16.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.2,2.0,41.0,4.0,0.0,0.12,0.12,0.0,0.12,0.04,0.03,0.08,0.04,0.08,Matches,Ipswich Town,2024,17.0
330,Ben Johnson,eng ENG,"DF,FW",25-105,,14,1348.0,15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,1.3,2.3,16.0,26.0,33.0,0.07,0.13,0.2,0.07,0.2,0.07,0.09,0.16,0.07,0.16,Matches,Ipswich Town,2024,22.0
331,Kalvin Phillips,eng ENG,MF,29-158,,14,1237.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.2,0.7,4.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Ipswich Town,2024,19.0
332,Sammie Szmodics,ie IRL,"FW,MF",29-227,,13,979.0,10.9,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.4,3.4,0.2,3.6,16.0,18.0,46.0,0.37,0.0,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches,Ipswich Town,2024,19.0
333,Luke Woolfenden,eng ENG,DF,26-200,,12,1187.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,15.0
334,Wes Burns,wls WAL,"FW,DF",30-167,,12,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.6,2.2,38.0,8.0,65.0,0.0,0.1,0.1,0.0,0.1,0.05,0.16,0.21,0.05,0.21,Matches,Ipswich Town,2024,18.0
335,Jack Clarke,eng ENG,"FW,MF",24-167,,11,1056.0,11.7,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.9,32.0,35.0,47.0,0.0,0.34,0.34,0.0,0.34,0.08,0.17,0.25,0.08,0.25,Matches,Ipswich Town,2024,29.0
336,Alex Palmer,eng ENG,GK,28-272,,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,11.0
337,Julio Enciso,py PAR,"FW,MF",21-106,,10,709.0,7.9,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,1.2,2.7,16.0,22.0,33.0,0.25,0.38,0.63,0.25,0.63,0.19,0.16,0.35,0.19,0.35,Matches,Ipswich Town,2024,11.0
338,Conor Chaplin,eng ENG,"MF,FW",28-082,,8,712.0,7.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.7,1.9,11.0,26.0,20.0,0.13,0.13,0.25,0.13,0.25,0.15,0.09,0.24,0.15,0.24,Matches,Ipswich Town,2024,19.0
339,Nathan Broadhead,wls WAL,"MF,FW",27-034,,6,605.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.6,2.1,17.0,12.0,27.0,0.15,0.0,0.15,0.15,0.15,0.22,0.1,0.32,0.22,0.32,Matches,Ipswich Town,2024,16.0
340,Christian Walton,eng ENG,GK,29-181,,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,6.0
341,Jaden Philogene Bidace,eng ENG,"FW,DF",23-090,,5,474.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.2,2.2,13.0,10.0,36.0,0.38,0.0,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42,Matches,Ipswich Town,2024,10.0
342,Harry Clarke,eng ENG,DF,24-068,,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.0,0.1,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,Ipswich Town,2024,7.0
343,Jack Taylor,ie IRL,MF,26-320,,3,766.0,8.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.5,1.2,11.0,41.0,21.0,0.12,0.0,0.12,0.12,0.12,0.08,0.06,0.15,0.08,0.15,Matches,Ipswich Town,2024,29.0
344,George Hirst,sct SCO,FW,26-083,,3,493.0,5.5,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.6,1.6,0.3,1.9,9.0,13.0,29.0,0.55,0.18,0.73,0.55,0.73,0.28,0.06,0.35,0.28,0.35,Matches,Ipswich Town,2024,23.0
345,Conor Townsend,eng ENG,DF,32-066,,3,335.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,2.0,8.0,13.0,0.0,0.27,0.27,0.0,0.27,0.01,0.18,0.18,0.01,0.18,Matches,Ipswich Town,2024,6.0
346,Chiedozie Ogbene,ie IRL,FW,28-008,,3,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Ipswich Town,2024,5.0
347,Massimo Luongo,au AUS,MF,32-226,,2,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,9.0
348,Ben Godfrey,eng ENG,DF,27-114,,2,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,3.0
349,Ali Al Hamadi,iq IRQ,FW,23-069,,0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.4,4.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.24,0.05,0.28,0.24,0.28,Matches,Ipswich Town,2024,11.0
350,Marcus Harness,eng ENG,MF,29-074,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,2.0
351,George Edmundson,eng ENG,DF,27-251,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,2024,1.0
352,Somto Boniface,eng ENG,DF,19-059,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich Town,2024,0.0
353,Cieran Slicker,sct SCO,GK,22-236,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich Town,2024,0.0
354,Tom Taylor,,MF,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich Town,2024,0.0
355,Jamie Vardy,eng ENG,FW,38-118,,33,2655.0,29.5,8.0,3.0,11.0,7.0,1.0,2.0,5.0,0.0,10.7,9.1,2.9,12.0,27.0,20.0,110.0,0.27,0.1,0.37,0.24,0.34,0.36,0.1,0.46,0.31,0.41,Matches,Leicester City,2024,33.0
356,James Justin,eng ENG,DF,27-075,,31,2669.0,29.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.5,1.5,0.6,2.1,39.0,87.0,92.0,0.07,0.03,0.1,0.07,0.1,0.05,0.02,0.07,0.05,0.07,Matches,Leicester City,2024,33.0
357,Victor Bernth Kristiansen,dk DEN,DF,22-144,,28,2380.0,26.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.4,1.7,39.0,69.0,75.0,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,Matches,Leicester City,2024,28.0
358,Wout Faes,be BEL,DF,27-036,,27,2545.0,28.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,0.1,1.5,12.0,80.0,1.0,0.04,0.0,0.04,0.04,0.04,0.05,0.0,0.05,0.05,0.05,Matches,Leicester City,2024,31.0
359,Mads Hermansen,dk DEN,GK,24-302,,27,2385.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,27.0
360,Wilfred Ndidi,ng NGA,MF,28-144,,26,2147.0,23.9,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,1.8,3.9,17.0,65.0,75.0,0.0,0.17,0.17,0.0,0.17,0.09,0.08,0.16,0.09,0.16,Matches,Leicester City,2024,26.0
361,Bilal El Khannouss,ma MAR,MF,20-364,,25,2003.0,22.3,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.1,1.1,4.1,5.2,71.0,119.0,83.0,0.09,0.13,0.22,0.09,0.22,0.05,0.18,0.23,0.05,0.23,Matches,Leicester City,2024,30.0
362,Boubakary Soumaré,fr FRA,MF,26-071,,23,1960.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.4,0.7,31.0,95.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Leicester City,2024,28.0
363,Harry Winks,eng ENG,MF,29-096,,17,1538.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.2,1.5,19.0,101.0,11.0,0.0,0.12,0.12,0.0,0.12,0.01,0.07,0.09,0.01,0.09,Matches,Leicester City,2024,22.0
364,Stephy Mavididi,eng ENG,FW,26-343,,16,1615.0,17.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.8,1.8,2.6,4.4,91.0,57.0,138.0,0.22,0.06,0.28,0.22,0.28,0.1,0.15,0.25,0.1,0.25,Matches,Leicester City,2024,30.0
365,Conor Coady,eng ENG,DF,32-073,,16,1444.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Leicester City,2024,19.0
366,Jordan Ayew,gh GHA,"FW,MF",33-240,,16,1425.0,15.8,5.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,3.0,2.2,1.0,3.2,42.0,37.0,77.0,0.32,0.0,0.32,0.25,0.25,0.19,0.06,0.25,0.14,0.2,Matches,Leicester City,2024,27.0
367,Jannik Vestergaard,dk DEN,DF,32-279,,16,1391.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.1,0.2,3.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,Leicester City,2024,18.0
368,Facundo Buonanotte,ar ARG,"FW,MF",20-137,,14,1474.0,16.4,4.0,2.0,6.0,4.0,0.0,0.0,7.0,0.0,3.8,3.8,3.1,6.8,38.0,52.0,69.0,0.24,0.12,0.37,0.24,0.37,0.23,0.19,0.42,0.23,0.42,Matches,Leicester City,2024,29.0
369,Caleb Okoli,it ITA,DF,23-300,,12,1124.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.0,0.6,3.0,32.0,2.0,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05,Matches,Leicester City,2024,18.0
370,Luke Thomas,eng ENG,DF,23-333,,10,873.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.6,3.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06,Matches,Leicester City,2024,11.0
371,Bobby De Cordova-Reid,jm JAM,FW,32-096,,9,744.0,8.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.2,2.0,14.0,15.0,48.0,0.12,0.24,0.36,0.12,0.36,0.1,0.15,0.24,0.1,0.24,Matches,Leicester City,2024,23.0
372,Oliver Skipp,eng ENG,MF,24-235,,8,996.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,0.3,0.4,16.0,31.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,Leicester City,2024,21.0
373,Jakub Stolarczyk,pl POL,GK,24-141,,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,7.0
374,Kasey McAteer,ie IRL,"FW,MF",23-168,,6,612.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.6,1.3,16.0,11.0,52.0,0.0,0.15,0.15,0.0,0.15,0.1,0.09,0.19,0.1,0.19,Matches,Leicester City,2024,15.0
375,Abdul Fatawu Issahaku,gh GHA,FW,21-062,,6,579.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,42.0,17.0,60.0,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,Matches,Leicester City,2024,11.0
376,Patson Daka,zm ZAM,"FW,MF",26-212,,5,653.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.1,1.3,10.0,8.0,34.0,0.14,0.0,0.14,0.14,0.14,0.17,0.01,0.18,0.17,0.18,Matches,Leicester City,2024,21.0
377,Ricardo Pereira,pt POR,DF,31-215,,4,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Leicester City,2024,8.0
378,Danny Ward,wls WAL,GK,31-321,,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,2.0
379,Hamza Choudhury,bd BAN,"MF,DF",27-220,,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches,Leicester City,2024,4.0
380,Woyo Coulibaly,fr FRA,DF,25-354,,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Leicester City,2024,4.0
381,Jeremy Monga,,"FW,MF",,,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,4.0
382,Odsonne Édouard,fr FRA,FW,27-113,,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,Leicester City,2024,4.0
383,Jake Evans,,FW,,,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,2.0
384,Will Alves,eng ENG,FW,20-095,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,1.0
385,Michael Golding,eng ENG,MF,18-351,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester City,2024,1.0
386,Olabade Aluko,,MF,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City,2024,0.0
387,Thomas Cannon,ie IRL,FW,22-132,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City,2024,0.0
388,Henry Cartwright,eng ENG,MF,20-149,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City,2024,0.0
389,Daniel Iversen,dk DEN,GK,27-294,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City,2024,0.0
390,Benjamin Nelson,eng ENG,DF,21-052,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City,2024,0.0
391,Thomas Wilson-Brown,eng ENG,MF,20-216,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City,2024,0.0
392,Virgil van Dijk,nl NED,DF,33-305,,35,3150.0,35.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.2,2.2,0.7,3.0,18.0,180.0,6.0,0.09,0.03,0.11,0.09,0.11,0.06,0.02,0.08,0.06,0.08,Matches,Liverpool,2024,35.0
393,Mohamed Salah,eg EGY,FW,32-328,,35,3101.0,34.5,28.0,18.0,46.0,19.0,9.0,9.0,1.0,0.0,24.0,17.0,13.2,30.1,143.0,133.0,440.0,0.81,0.52,1.34,0.55,1.07,0.7,0.38,1.08,0.49,0.87,Matches,Liverpool,2024,35.0
394,Ryan Gravenberch,nl NED,MF,22-358,,34,2921.0,32.5,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,2.9,3.9,65.0,168.0,54.0,0.0,0.12,0.12,0.0,0.12,0.03,0.09,0.12,0.03,0.12,Matches,Liverpool,2024,34.0
395,Alexis Mac Allister,ar ARG,MF,26-136,,30,2575.0,28.6,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,2.8,2.8,4.6,7.4,34.0,174.0,79.0,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,Matches,Liverpool,2024,34.0
396,Trent Alexander-Arnold,eng ENG,DF,26-214,,28,2296.0,25.5,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,1.8,1.8,6.7,8.5,50.0,221.0,90.0,0.12,0.24,0.35,0.12,0.35,0.07,0.26,0.33,0.07,0.33,Matches,Liverpool,2024,31.0
397,Ibrahima Konaté,fr FRA,DF,25-349,,27,2320.0,25.8,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,1.0,2.7,21.0,103.0,3.0,0.04,0.08,0.12,0.04,0.12,0.07,0.04,0.1,0.07,0.1,Matches,Liverpool,2024,28.0
398,Andrew Robertson,sct SCO,DF,31-059,,27,2308.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.1,5.1,58.0,165.0,95.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.2,0.04,0.2,Matches,Liverpool,2024,31.0
399,Dominik Szoboszlai,hu HUN,MF,24-196,,26,2279.0,25.3,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,7.1,7.1,6.2,13.3,65.0,118.0,120.0,0.2,0.2,0.39,0.2,0.39,0.28,0.24,0.53,0.28,0.53,Matches,Liverpool,2024,33.0
400,Luis Díaz,co COL,FW,28-116,,26,2225.0,24.7,12.0,5.0,17.0,12.0,0.0,0.0,2.0,0.0,10.0,10.0,4.9,14.9,103.0,103.0,269.0,0.49,0.2,0.69,0.49,0.69,0.4,0.2,0.6,0.4,0.6,Matches,Liverpool,2024,33.0
401,Alisson,br BRA,GK,32-219,,25,2238.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Liverpool,2024,25.0
402,Cody Gakpo,nl NED,FW,26-002,,20,1717.0,19.1,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0,6.5,6.5,3.5,10.0,51.0,52.0,253.0,0.47,0.16,0.63,0.47,0.63,0.34,0.18,0.52,0.34,0.52,Matches,Liverpool,2024,32.0
403,Curtis Jones,eng ENG,"MF,DF",24-099,,17,1528.0,17.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,4.1,4.1,1.0,5.1,24.0,95.0,71.0,0.18,0.18,0.35,0.18,0.35,0.24,0.06,0.3,0.24,0.3,Matches,Liverpool,2024,30.0
404,Diogo Jota,pt POR,FW,28-156,,14,1154.0,12.8,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,7.5,7.5,1.8,9.3,36.0,33.0,86.0,0.47,0.23,0.7,0.47,0.7,0.59,0.14,0.73,0.59,0.73,Matches,Liverpool,2024,24.0
405,Caoimhín Kelleher,ie IRL,GK,26-167,,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,2024,10.0
406,Darwin Núñez,uy URU,FW,25-319,,8,1051.0,11.7,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,5.3,5.3,1.2,6.5,22.0,27.0,69.0,0.43,0.17,0.6,0.43,0.6,0.45,0.11,0.56,0.45,0.56,Matches,Liverpool,2024,27.0
407,Kostas Tsimikas,gr GRE,DF,28-362,,8,747.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.1,2.5,16.0,71.0,42.0,0.0,0.12,0.12,0.0,0.12,0.05,0.26,0.3,0.05,0.3,Matches,Liverpool,2024,17.0
408,Joe Gomez,eng ENG,DF,27-351,,6,519.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,5.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,Liverpool,2024,9.0
409,Conor Bradley,nir NIR,DF,21-304,,4,567.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.5,1.1,28.0,26.0,31.0,0.0,0.16,0.16,0.0,0.16,0.09,0.07,0.17,0.09,0.17,Matches,Liverpool,2024,16.0
