,Player,Nation,Pos,Age,90s,performance_CrdY,performance_CrdR,performance_2CrdY,performance_Fls,performance_Fld,performance_Off,performance_Crs,performance_Int,performance_TklW,performance_PKwon,performance_PKcon,performance_OG,performance_Recov,aerial_duels_Won,aerial_duels_Lost,aerial_duels_Won%,Matches,Team,Season
70,Nahuel Molina,ar ARG,DF,27-033,16.0,0,0,0,11,5,1,50,11,17,0,0,0,60,10,12,45.5,Matches,Atletico Madrid,2024
71,Alexander Sørloth,no NOR,FW,29-155,14.8,4,0,0,23,12,5,4,1,4,0,0,0,38,90,44,67.2,Matches,Atletico Madrid,2024
72,Reinildo Mandava,mz MOZ,DF,31-108,10.5,4,0,0,19,18,1,8,16,11,0,1,0,52,10,14,41.7,Matches,Atletico Madrid,2024
73,César Azpilicueta,es ESP,DF,35-254,8.2,1,0,0,7,5,2,3,3,12,0,0,0,22,11,12,47.8,Matches,Atletico Madrid,2024
74,Axel Witsel,be BEL,DF,36-117,8.5,1,0,0,4,3,1,0,9,12,0,0,0,30,23,14,62.2,Matches,Atletico Madrid,2024
75,Rodrigo Riquelme,es ESP,"MF,DF",25-037,5.7,0,0,0,8,8,4,34,2,5,0,0,0,21,3,3,50.0,Matches,Atletico Madrid,2024
76,Ángel Correa,ar ARG,"FW,MF",30-061,8.1,3,1,0,14,10,4,20,4,2,0,0,0,36,1,8,11.1,Matches,Atletico Madrid,2024
77,Juan Musso,ar ARG,GK,31-003,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches,Atletico Madrid,2024
78,Thomas Lemar,fr FRA,MF,29-178,0.7,0,0,0,1,2,0,2,0,1,0,0,0,3,0,1,0.0,Matches,Atletico Madrid,2024
79,Adrian Niño,es ESP,FW,20-324,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,Atletico Madrid,2024
80,Iñaki Williams,gh GHA,FW,30-328,29.0,1,0,0,21,39,16,114,12,10,1,0,0,87,30,20,60.0,Matches,Athletic Club,2024
81,Daniel Vivian,es ESP,DF,25-298,25.7,3,0,0,27,16,1,8,38,23,0,1,0,149,32,29,52.5,Matches,Athletic Club,2024
82,Álex Berenguer,es ESP,"FW,MF",29-309,23.0,5,0,0,29,29,4,161,9,13,2,0,0,100,23,47,32.9,Matches,Athletic Club,2024
83,Mikel Jauregizar,es ESP,MF,21-178,21.8,4,1,0,40,36,0,26,26,43,1,0,0,129,29,34,46.0,Matches,Athletic Club,2024
84,Nico Williams,es ESP,FW,22-301,21.3,1,0,0,16,35,10,107,6,17,0,0,0,88,11,17,39.3,Matches,Athletic Club,2024
85,Beñat Prados,es ESP,MF,24-090,17.9,7,0,0,34,15,0,8,28,33,0,0,0,85,28,22,56.0,Matches,Athletic Club,2024
86,Gorka Guruzeta,es ESP,FW,28-239,18.1,2,0,0,35,20,5,3,8,8,0,0,0,52,36,65,35.6,Matches,Athletic Club,2024
87,Aitor Paredes,es ESP,DF,25-010,18.1,4,1,1,21,5,0,1,22,9,0,1,0,56,28,26,51.9,Matches,Athletic Club,2024
88,Yuri Berchiche,es ESP,DF,35-088,18.7,4,0,0,14,16,3,39,20,20,0,0,0,98,22,16,57.9,Matches,Athletic Club,2024
89,Yeray Álvarez,es ESP,DF,30-105,17.8,4,0,0,12,14,0,3,33,13,0,0,0,75,39,31,55.7,Matches,Athletic Club,2024
90,Oihan Sancet,es ESP,MF,25-014,16.3,2,0,0,13,19,3,17,5,7,0,0,0,66,10,12,45.5,Matches,Athletic Club,2024
91,Unai Simón,es ESP,GK,27-332,17.0,0,0,0,0,3,0,0,1,0,0,0,0,24,5,0,100.0,Matches,Athletic Club,2024
92,Andoni Gorosabel,es ESP,DF,28-278,15.6,5,0,0,24,4,1,39,17,25,0,0,0,55,18,26,40.9,Matches,Athletic Club,2024
93,Óscar de Marcos,es ESP,DF,36-025,15.3,0,0,0,13,5,1,49,14,13,0,0,0,83,7,12,36.8,Matches,Athletic Club,2024
94,Iñigo Ruiz de Galarreta,es ESP,MF,31-276,13.9,5,0,0,34,15,0,26,12,21,0,0,0,109,6,9,40.0,Matches,Athletic Club,2024
95,Julen Agirrezabala,es ESP,GK,24-134,13.4,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0,Matches,Athletic Club,2024
96,Unai Gómez,es ESP,"MF,FW",21-349,12.3,1,0,0,10,17,0,20,2,6,0,0,0,35,26,27,49.1,Matches,Athletic Club,2024
97,Adama Boiro,es ESP,DF,22-321,11.2,2,0,0,10,8,0,29,12,11,0,0,0,44,15,7,68.2,Matches,Athletic Club,2024
98,Mikel Vesga,es ESP,MF,31-353,9.8,1,0,0,12,3,0,7,13,14,0,0,0,56,18,11,62.1,Matches,Athletic Club,2024
99,Iñigo Lekue,es ESP,DF,32-005,7.6,1,0,0,5,2,0,12,7,12,0,0,0,33,5,2,71.4,Matches,Athletic Club,2024
100,Álvaro djaló,es ESP,FW,25-266,6.7,1,0,0,16,14,5,12,1,5,0,0,0,25,9,17,34.6,Matches,Athletic Club,2024
101,Unai Núñez,es ESP,DF,28-099,6.5,4,0,0,9,5,0,0,17,4,0,0,0,26,13,12,52.0,Matches,Athletic Club,2024
102,Maroan Sannadi,es ESP,FW,24-097,5.7,0,0,0,14,17,4,2,0,0,1,0,0,15,11,14,44.0,Matches,Athletic Club,2024
103,Alex Padilla,es ESP,GK,21-250,3.6,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,100.0,Matches,Athletic Club,2024
104,Ander Herrera,es ESP,MF,35-268,3.0,2,0,0,6,3,0,1,2,4,0,0,0,14,3,2,60.0,Matches,Athletic Club,2024
105,Peio Canales,es ESP,"MF,FW",20-112,2.1,0,0,0,1,2,1,6,2,2,0,0,0,16,0,2,0.0,Matches,Athletic Club,2024
106,Nicolás Serrano,es ESP,FW,22-065,1.2,0,0,0,2,2,0,13,1,1,0,0,0,3,0,2,0.0,Matches,Athletic Club,2024
107,Javi Martón,es ESP,"FW,MF",26-003,0.6,1,0,0,1,0,1,0,0,0,0,0,0,2,2,1,66.7,Matches,Athletic Club,2024
108,Adu Ares,es ESP,FW,23-209,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches,Athletic Club,2024
109,Endika Buján,es ESP,FW,22-113,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches,Athletic Club,2024
110,Diego Llorente,es ESP,DF,31-266,28.0,4,0,0,20,23,0,1,43,20,0,1,1,93,77,45,63.1,Matches,Real Betis,2024
111,Johnny Cardoso,us USA,MF,23-231,21.7,4,0,0,33,26,0,3,46,28,0,0,0,125,28,16,63.6,Matches,Real Betis,2024
112,Marc Bartra,es ESP,DF,34-114,20.5,1,0,0,12,12,2,1,30,16,0,1,0,79,42,40,51.2,Matches,Real Betis,2024
113,Romain Perraud,fr FRA,DF,27-229,20.1,7,1,0,24,38,5,64,21,21,0,1,0,85,9,15,37.5,Matches,Real Betis,2024
114,Abde Ezzalzouli,ma MAR,"FW,MF",23-143,19.6,2,0,0,21,36,3,43,6,25,1,0,0,90,22,33,40.0,Matches,Real Betis,2024
115,Natan,br BRA,DF,24-092,20.2,3,1,0,15,10,0,2,23,21,0,0,0,58,53,25,67.9,Matches,Real Betis,2024
116,Sergi Altimira,es ESP,MF,23-257,19.5,3,0,0,31,31,0,4,20,32,1,0,0,104,10,19,34.5,Matches,Real Betis,2024
117,Youssouf Sabaly,sn SEN,DF,32-065,17.3,1,0,0,18,11,1,30,13,25,0,0,0,85,9,13,40.9,Matches,Real Betis,2024
118,Pablo Fornals,es ESP,"MF,FW",29-076,17.1,2,0,0,10,12,2,47,20,10,0,0,0,91,18,17,51.4,Matches,Real Betis,2024
119,Adrián,es ESP,GK,38-126,15.0,3,0,0,0,3,0,0,0,0,0,0,0,14,2,1,66.7,Matches,Real Betis,2024
120,Rui Silva,pt POR,GK,31-091,15.0,1,0,0,1,2,0,0,0,0,0,1,0,25,2,0,100.0,Matches,Real Betis,2024
121,Isco,es ESP,MF,33-018,14.6,5,0,0,20,38,4,78,8,9,0,0,0,62,12,19,38.7,Matches,Real Betis,2024
122,Vitor Roque,br BRA,FW,20-070,13.7,4,0,0,30,30,5,6,7,6,2,0,0,35,15,29,34.1,Matches,Real Betis,2024
123,Giovani Lo Celso,ar ARG,"MF,FW",29-030,14.5,4,0,0,13,60,0,90,5,22,0,0,0,67,5,11,31.3,Matches,Real Betis,2024
124,Ricardo Rodríguez,ch SUI,DF,32-257,12.3,0,0,0,11,6,0,15,6,13,0,0,0,47,25,16,61.0,Matches,Real Betis,2024
125,Antony,br BRA,FW,25-074,12.2,1,1,0,9,22,0,32,9,7,1,0,0,61,4,12,25.0,Matches,Real Betis,2024
126,Jesus Rodríguez,es ESP,FW,19-169,10.8,0,0,0,13,37,2,16,6,14,1,0,0,49,3,6,33.3,Matches,Real Betis,2024
127,Marc Roca,es ESP,MF,28-164,10.1,4,0,0,16,5,0,10,14,14,0,0,0,51,5,13,27.8,Matches,Real Betis,2024
128,Cucho,co COL,FW,26-019,9.7,0,0,0,9,7,3,9,6,8,1,0,0,22,26,27,49.1,Matches,Real Betis,2024
129,Aitor Ruibal,es ESP,"DF,FW",29-048,11.0,5,0,0,9,15,2,26,11,15,0,0,0,54,5,12,29.4,Matches,Real Betis,2024
130,Ezequiel Ávila,ar ARG,FW,31-092,7.5,5,1,0,13,18,5,29,2,3,0,0,0,28,6,8,42.9,Matches,Real Betis,2024
131,Héctor Bellerín,es ESP,DF,30-051,6.4,1,0,0,6,0,0,10,6,7,0,0,0,13,6,7,46.2,Matches,Real Betis,2024
132,Cédric Bakambu,cd COD,FW,34-028,6.9,4,0,0,21,6,11,2,0,4,1,0,0,20,12,26,31.6,Matches,Real Betis,2024
133,William Carvalho,pt POR,MF,33-032,4.3,0,0,0,5,3,0,1,3,3,0,0,0,26,6,3,66.7,Matches,Real Betis,2024
134,Fran Vieites,es ESP,GK,26-002,4.0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,100.0,Matches,Real Betis,2024
135,Ángel Ortíz,es ESP,DF,20-288,3.8,0,0,0,6,6,0,18,5,7,0,0,0,14,5,7,41.7,Matches,Real Betis,2024
136,Iker Losada,es ESP,"MF,FW",23-281,3.7,0,0,0,1,2,0,4,3,7,0,0,0,19,3,4,42.9,Matches,Real Betis,2024
137,Assane Diao,sn SEN,FW,19-244,3.1,0,0,0,4,4,2,4,0,3,0,0,0,12,8,6,57.1,Matches,Real Betis,2024
138,Juanmi,es ESP,"FW,MF",31-354,2.7,2,0,0,6,7,1,1,1,4,0,0,0,14,6,1,85.7,Matches,Real Betis,2024
139,Nabil Fekir,fr FRA,MF,31-295,2.0,0,0,0,3,7,0,10,0,2,0,0,0,3,0,2,0.0,Matches,Real Betis,2024
140,Carlos Guirao,es ESP,MF,22-012,1.2,0,0,0,4,0,0,0,3,3,0,0,0,6,2,1,66.7,Matches,Real Betis,2024
141,Mateo Flores,es ESP,MF,21-032,1.7,1,0,0,4,1,0,1,2,1,0,0,0,12,0,2,0.0,Matches,Real Betis,2024
142,Rodri,es ESP,FW,24-358,1.3,0,0,0,2,2,1,6,1,1,0,0,0,10,0,2,0.0,Matches,Real Betis,2024
143,Sergio Arribas,es ESP,DF,22-088,1.0,0,0,0,0,0,0,0,3,4,0,0,0,3,1,0,100.0,Matches,Real Betis,2024
144,Pablo Garcia,es ESP,FW,18-267,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches,Real Betis,2024
145,Sergi Cardona,es ESP,DF,25-305,30.7,11,0,0,38,25,3,105,33,44,0,1,0,129,40,27,59.7,Matches,Villarreal,2024
146,Santi Comesaña,es ESP,MF,28-216,26.1,7,0,0,36,27,1,14,17,47,0,0,0,149,31,47,39.7,Matches,Villarreal,2024
147,Kiko Femenía,es ESP,DF,34-096,24.7,7,0,0,21,13,1,47,40,34,0,0,0,102,5,12,29.4,Matches,Villarreal,2024
148,Alex Baena,es ESP,MF,23-293,25.2,9,0,0,38,38,4,188,21,14,0,0,0,131,15,18,45.5,Matches,Villarreal,2024
149,Logan Costa,cv CPV,DF,24-038,24.7,3,0,0,16,3,2,4,17,19,1,2,0,92,41,34,54.7,Matches,Villarreal,2024
150,Thierno Barry,fr FRA,FW,22-200,24.3,4,0,0,46,48,19,5,0,8,1,1,0,34,94,48,66.2,Matches,Villarreal,2024
151,Daniel Parejo,es ESP,MF,36-023,23.2,7,0,0,18,30,1,34,22,37,0,0,0,131,21,9,70.0,Matches,Villarreal,2024
152,Pape Gueye,sn SEN,MF,26-105,22.0,5,2,1,29,58,4,19,24,25,0,1,0,113,29,22,56.9,Matches,Villarreal,2024
153,Diego Conde,es ESP,GK,26-193,20.8,2,0,0,0,1,0,0,1,2,0,0,0,27,1,0,100.0,Matches,Villarreal,2024
154,Yeremi Pino,es ESP,MF,22-201,18.5,10,0,0,44,26,14,46,8,27,1,0,0,79,11,12,47.8,Matches,Villarreal,2024
155,Ayoze Pérez,es ESP,FW,31-284,19.6,3,0,0,20,38,6,15,7,12,0,0,0,55,13,28,31.7,Matches,Villarreal,2024
156,Juan Foyth,ar ARG,DF,27-117,13.9,4,0,0,13,3,0,4,17,14,0,0,0,43,35,25,58.3,Matches,Villarreal,2024
157,Raúl Albiol,es ESP,DF,39-247,13.2,5,0,0,11,6,0,0,6,9,0,2,1,44,29,14,67.4,Matches,Villarreal,2024
158,Luiz Lúcio Reis Júnior,br BRA,GK,24-115,13.2,2,0,0,0,5,0,0,0,0,0,0,0,16,4,1,80.0,Matches,Villarreal,2024
