,Player,Nation,Pos,Age,ptime_MP,ptime_Starts,ptime_Min,ptime_90s,perf_Gls,perf_Ast,perf_G+A,perf_G-PK,perf_PK,perf_PKatt,perf_CrdY,perf_CrdR,exp_xG,exp_npxG,exp_xAG,exp_npxG+xAG,prog_PrgC,prog_PrgP,prog_PrgR,p90_Gls,p90_Ast,p90_G+A,p90_G-PK,p90_G+A-PK,p90_xG,p90_xAG,p90_xG+xAG,p90_npxG,p90_npxG+xAG,Matches,Team,Season,MP
7,Noni Madueke,eng ENG,FW,23-058,,24,1813.0,20.1,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,9.1,9.1,4.0,13.1,142.0,66.0,212.0,0.35,0.15,0.5,0.35,0.5,0.45,0.2,0.65,0.45,0.65,Matches,Chelsea,2024,29.0
8,Pedro Neto,pt POR,FW,25-059,,21,2013.0,22.4,4.0,5.0,9.0,4.0,0.0,0.0,8.0,0.0,2.9,2.9,6.1,9.0,118.0,57.0,229.0,0.18,0.22,0.4,0.18,0.4,0.13,0.27,0.4,0.13,0.4,Matches,Chelsea,2024,32.0
9,Malo Gusto,fr FRA,DF,21-353,,19,1832.0,20.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,1.3,3.0,49.0,119.0,84.0,0.0,0.05,0.05,0.0,0.05,0.08,0.06,0.15,0.08,0.15,Matches,Chelsea,2024,29.0
10,Jadon Sancho,eng ENG,FW,25-043,,18,1687.0,18.7,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,3.6,5.8,98.0,87.0,218.0,0.16,0.21,0.37,0.16,0.37,0.12,0.19,0.31,0.12,0.31,Matches,Chelsea,2024,29.0
11,Wesley Fofana,fr FRA,DF,24-141,,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.4,0.8,19.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.06,Matches,Chelsea,2024,14.0
12,Tosin Adarabioyo,eng ENG,DF,27-225,,13,1229.0,13.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.2,1.1,5.0,37.0,1.0,0.07,0.07,0.15,0.07,0.15,0.07,0.02,0.08,0.07,0.08,Matches,Chelsea,2024,20.0
13,Reece James,eng ENG,"DF,MF",25-150,,10,838.0,9.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,6.0,51.0,10.0,0.11,0.0,0.11,0.11,0.11,0.03,0.06,0.09,0.03,0.09,Matches,Chelsea,2024,16.0
14,Trevoh Chalobah,eng ENG,DF,25-306,,10,836.0,9.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.2,1.9,4.0,37.0,2.0,0.0,0.11,0.11,0.0,0.11,0.08,0.13,0.21,0.08,0.21,Matches,Chelsea,2024,12.0
15,Roméo Lavia,be BEL,MF,21-121,,10,684.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.9,3.0,24.0,7.0,0.0,0.13,0.13,0.0,0.13,0.02,0.1,0.12,0.02,0.12,Matches,Chelsea,2024,13.0
16,Christopher Nkunku,fr FRA,FW,27-174,,9,921.0,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.8,4.8,2.1,6.9,17.0,25.0,68.0,0.29,0.2,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches,Chelsea,2024,27.0
17,Filip Jørgensen,dk DEN,GK,23-021,,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,2024,6.0
18,Axel Disasi,fr FRA,DF,27-057,,4,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,6.0,16.0,2.0,0.25,0.0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches,Chelsea,2024,6.0
19,João Félix,pt POR,"FW,MF",25-178,,3,369.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.2,2.2,1.0,3.2,21.0,26.0,30.0,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches,Chelsea,2024,12.0
20,Benoît Badiashile,fr FRA,DF,24-042,,3,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,2024,5.0
21,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",26-243,,2,259.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,1.3,5.0,14.0,11.0,0.0,0.35,0.35,0.0,0.35,0.08,0.37,0.45,0.08,0.45,Matches,Chelsea,2024,12.0
22,Joshua Acheampong,eng ENG,DF,19-002,,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Chelsea,2024,4.0
23,Renato Veiga,pt POR,"DF,MF",21-282,,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Chelsea,2024,7.0
24,Mykhailo Mudryk,ua UKR,FW,24-122,,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.2,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.15,0.58,0.73,0.15,0.73,Matches,Chelsea,2024,7.0
25,Tyrique George,eng ENG,FW,19-092,,0,103.0,1.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,9.0,2.0,18.0,0.87,0.87,1.75,0.87,1.75,0.17,0.63,0.8,0.17,0.8,Matches,Chelsea,2024,7.0
26,Marc Guiu,es ESP,FW,19-123,,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Chelsea,2024,3.0
27,Mathis Amougou,fr FRA,MF,19-109,,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,2024,1.0
28,Shumaira Mheuka,eng ENG,MF,17-199,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,5.06,5.06,5.06,Matches,Chelsea,2024,1.0
29,Aaron Anselmino,ar ARG,DF,20-008,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,0.0
30,Genesis Antwi,se SWE,MF,17-361,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,0.0
31,Marcus Bettinelli,eng ENG,GK,32-348,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,0.0
32,Cesare Casadei,it ITA,MF,22-117,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,0.0
33,Samuel Rak-Sakyi,eng ENG,MF,20-041,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,0.0
34,Ishé Samuels-Smith,eng ENG,DF,18-336,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,0.0
0,Dean Henderson,eng ENG,GK,28-056,35.0,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
1,Tyrick Mitchell,eng ENG,DF,25-248,35.0,35,2942.0,32.7,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,5.7,7.0,56.0,64.0,166.0,0.0,0.12,0.12,0.0,0.12,0.04,0.18,0.21,0.04,0.21,Matches,Crystal Palace,2024,
2,Daniel Muñoz,co COL,DF,28-346,34.0,34,2958.0,32.9,4.0,4.0,8.0,4.0,0.0,0.0,10.0,0.0,4.7,4.7,4.5,9.1,54.0,89.0,191.0,0.12,0.12,0.24,0.12,0.24,0.14,0.14,0.28,0.14,0.28,Matches,Crystal Palace,2024,
3,Marc Guéhi,eng ENG,DF,24-298,33.0,33,2969.0,33.0,3.0,2.0,5.0,3.0,0.0,0.0,9.0,1.0,2.0,2.0,1.5,3.5,22.0,128.0,10.0,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11,Matches,Crystal Palace,2024,
4,Maxence Lacroix,fr FRA,DF,25-031,32.0,32,2846.0,31.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,3.1,3.1,0.8,3.9,8.0,61.0,7.0,0.03,0.03,0.06,0.03,0.06,0.1,0.02,0.12,0.1,0.12,Matches,Crystal Palace,2024,
5,Jean-Philippe Mateta,fr FRA,FW,27-313,34.0,31,2517.0,28.0,14.0,2.0,16.0,12.0,2.0,2.0,2.0,0.0,12.1,10.6,3.1,13.6,38.0,47.0,114.0,0.5,0.07,0.57,0.43,0.5,0.43,0.11,0.54,0.38,0.49,Matches,Crystal Palace,2024,
6,Eberechi Eze,eng ENG,"MF,FW",26-312,31.0,29,2427.0,27.0,5.0,8.0,13.0,4.0,1.0,2.0,1.0,0.0,9.1,7.5,5.2,12.7,67.0,89.0,143.0,0.19,0.3,0.48,0.15,0.44,0.34,0.19,0.53,0.28,0.47,Matches,Crystal Palace,2024,
7,Ismaila Sarr,sn SEN,"MF,FW",27-071,35.0,27,2482.0,27.6,7.0,4.0,11.0,7.0,0.0,0.0,4.0,0.0,9.1,9.1,7.1,16.2,69.0,79.0,169.0,0.25,0.15,0.4,0.25,0.4,0.33,0.26,0.59,0.33,0.59,Matches,Crystal Palace,2024,
8,Jefferson Lerma,co COL,"MF,DF",30-194,30.0,23,2034.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,1.5,2.5,11.0,86.0,25.0,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11,Matches,Crystal Palace,2024,
9,Will Hughes,eng ENG,MF,30-020,30.0,21,1899.0,21.1,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,2.7,3.8,19.0,83.0,24.0,0.0,0.14,0.14,0.0,0.14,0.05,0.13,0.18,0.05,0.18,Matches,Crystal Palace,2024,
10,Chris Richards,us USA,DF,25-040,21.0,19,1652.0,18.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.3,1.3,0.1,1.4,5.0,35.0,1.0,0.05,0.0,0.05,0.05,0.05,0.07,0.01,0.08,0.07,0.08,Matches,Crystal Palace,2024,
11,Adam Wharton,eng ENG,MF,20-339,20.0,16,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,3.0,3.4,14.0,107.0,11.0,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23,Matches,Crystal Palace,2024,
12,Daichi Kamada,jp JPN,MF,28-275,31.0,14,1424.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.1,1.1,1.8,2.9,24.0,80.0,54.0,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.18,0.07,0.18,Matches,Crystal Palace,2024,
13,Trevoh Chalobah,eng ENG,DF,25-306,12.0,12,1060.0,11.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.2,1.2,0.4,1.6,11.0,34.0,6.0,0.25,0.0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,0.14,Matches,Crystal Palace,2024,
14,Eddie Nketiah,eng ENG,"FW,MF",25-342,26.0,8,895.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,4.5,4.5,1.6,6.1,38.0,17.0,68.0,0.1,0.1,0.2,0.1,0.2,0.45,0.16,0.62,0.45,0.62,Matches,Crystal Palace,2024,
15,Nathaniel Clyne,eng ENG,"DF,MF",34-032,13.0,5,483.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Crystal Palace,2024,
16,Cheick Doucouré,ml MLI,MF,25-119,13.0,4,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,2.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Crystal Palace,2024,
17,Justin Devenny,nir NIR,MF,21-208,20.0,4,429.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.1,4.0,16.0,12.0,0.21,0.0,0.21,0.21,0.21,0.14,0.09,0.22,0.14,0.22,Matches,Crystal Palace,2024,
18,Odsonne Édouard,fr FRA,"MF,FW",27-111,2.0,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.31,0.04,0.34,0.31,0.34,Matches,Crystal Palace,2024,
19,Joachim Andersen,dk DEN,DF,28-341,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Crystal Palace,2024,
20,Chadi Riad,ma MAR,DF,21-324,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
21,Ben Chilwell,eng ENG,DF,28-137,6.0,0,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18,Matches,Crystal Palace,2024,
22,Jeffrey Schlupp,gh GHA,"MF,DF",32-135,12.0,0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches,Crystal Palace,2024,
23,Romain Esse,eng ENG,MF,19-359,4.0,0,34.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,0.0,1.0,6.0,2.65,0.0,2.65,2.65,2.65,0.83,0.35,1.17,0.83,1.17,Matches,Crystal Palace,2024,
24,Matheus França,br BRA,"FW,MF",21-036,2.0,0,26.0,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,2.0,3.46,0.0,3.46,3.46,3.46,0.43,0.0,0.43,0.43,0.43,Matches,Crystal Palace,2024,
25,Jordan Ayew,gh GHA,"FW,MF",33-238,1.0,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,2.17,Matches,Crystal Palace,2024,
26,Caleb Kporha,eng ENG,DF,18-296,2.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
27,Asher Agbinone,eng ENG,MF,19-221,2.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,Matches,Crystal Palace,2024,
28,Joel Ward,eng ENG,DF,35-190,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
29,Naouirou Ahamada,fr FRA,MF,23-039,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
30,Rob Holding,eng ENG,DF,29-229,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
31,Sam Johnstone,eng ENG,GK,32-043,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
32,Zachariah Marsh,eng ENG,FW,19-213,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
33,Remi Matthews,eng ENG,GK,31-086,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
34,Kaden Rodney,eng ENG,"DF,MF",20-212,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
35,Matt Turner,us USA,GK,30-317,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
36,Franco Umeh-Chibueze,ie IRL,MF,20-101,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
0,Jordan Pickford,eng ENG,GK,31-061,35.0,35,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches,Everton,2024,
1,James Tarkowski,eng ENG,DF,32-169,33.0,33,2922.0,32.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,2.9,4.2,9.0,75.0,3.0,0.03,0.03,0.06,0.03,0.06,0.04,0.09,0.13,0.04,0.13,Matches,Everton,2024,
2,Vitaliy Mykolenko,ua UKR,DF,25-343,32.0,32,2812.0,31.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.6,2.1,31.0,105.0,90.0,0.0,0.03,0.03,0.0,0.03,0.01,0.05,0.07,0.01,0.07,Matches,Everton,2024,
3,Idrissa Gana Gueye,sn SEN,MF,35-223,34.0,32,2794.0,31.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,1.7,2.8,26.0,134.0,24.0,0.0,0.1,0.1,0.0,0.1,0.03,0.05,0.09,0.03,0.09,Matches,Everton,2024,
4,Abdoulaye Doucouré,ml MLI,MF,32-126,30.0,29,2425.0,26.9,3.0,1.0,4.0,3.0,0.0,0.0,5.0,1.0,3.9,3.9,2.3,6.2,40.0,78.0,91.0,0.11,0.04,0.15,0.11,0.15,0.14,0.09,0.23,0.14,0.23,Matches,Everton,2024,
5,Iliman Ndiaye,sn SEN,FW,25-062,30.0,27,2252.0,25.0,7.0,0.0,7.0,5.0,2.0,2.0,3.0,0.0,5.2,3.6,1.6,5.2,81.0,50.0,115.0,0.28,0.0,0.28,0.2,0.2,0.21,0.06,0.27,0.15,0.21,Matches,Everton,2024,
6,Jarrad Branthwaite,eng ENG,DF,22-314,28.0,26,2348.0,26.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.1,1.1,0.7,1.8,9.0,61.0,2.0,0.0,0.04,0.04,0.0,0.04,0.04,0.03,0.07,0.04,0.07,Matches,Everton,2024,
7,Jack Harrison,eng ENG,FW,28-168,31.0,22,1900.0,21.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.3,3.3,3.7,7.0,64.0,45.0,116.0,0.05,0.0,0.05,0.05,0.05,0.16,0.17,0.33,0.16,0.33,Matches,Everton,2024,
8,Dominic Calvert-Lewin,eng ENG,FW,28-052,23.0,19,1588.0,17.6,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,6.2,6.2,0.6,6.8,22.0,19.0,107.0,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.38,0.35,0.38,Matches,Everton,2024,
9,Ashley Young,eng ENG,"DF,FW",39-302,29.0,17,1622.0,18.0,1.0,3.0,4.0,1.0,0.0,0.0,6.0,1.0,0.3,0.3,1.6,1.8,20.0,83.0,27.0,0.06,0.17,0.22,0.06,0.22,0.01,0.09,0.1,0.01,0.1,Matches,Everton,2024,
10,Jake O'Brien,ie IRL,DF,23-357,18.0,15,1391.0,15.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.7,0.7,0.6,1.3,7.0,43.0,24.0,0.13,0.0,0.13,0.13,0.13,0.05,0.04,0.08,0.05,0.08,Matches,Everton,2024,
11,Jesper Lindstrøm,dk DEN,FW,25-067,25.0,15,1239.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.1,2.1,2.0,4.1,30.0,25.0,81.0,0.0,0.07,0.07,0.0,0.07,0.15,0.15,0.3,0.15,0.3,Matches,Everton,2024,
12,James Garner,eng ENG,"MF,DF",24-055,18.0,14,1324.0,14.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.3,1.6,12.0,46.0,22.0,0.0,0.07,0.07,0.0,0.07,0.02,0.09,0.11,0.02,0.11,Matches,Everton,2024,
13,Dwight McNeil,eng ENG,"MF,FW",25-166,18.0,14,1262.0,14.0,4.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,1.1,1.1,3.8,4.8,35.0,63.0,74.0,0.29,0.29,0.57,0.29,0.57,0.08,0.27,0.35,0.08,0.35,Matches,Everton,2024,
14,Orel Mangala,be BEL,MF,27-050,19.0,14,1261.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,0.6,1.8,6.0,34.0,19.0,0.07,0.0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches,Everton,2024,
15,Beto,gw GNB,FW,27-096,27.0,12,1268.0,14.1,7.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,6.6,6.6,0.8,7.3,12.0,10.0,66.0,0.5,0.0,0.5,0.5,0.5,0.47,0.06,0.52,0.47,0.52,Matches,Everton,2024,
16,Michael Keane,eng ENG,DF,32-116,11.0,9,852.0,9.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.4,0.4,0.1,0.5,1.0,12.0,3.0,0.21,0.0,0.21,0.21,0.21,0.05,0.01,0.06,0.05,0.06,Matches,Everton,2024,
17,Carlos Alcaraz,ar ARG,"FW,MF",22-158,12.0,5,580.0,6.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,1.5,2.8,15.0,37.0,17.0,0.16,0.31,0.47,0.16,0.47,0.21,0.23,0.43,0.21,0.43,Matches,Everton,2024,
18,Tim Iroegbunam,eng ENG,MF,21-311,17.0,5,567.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.2,0.4,8.0,14.0,9.0,0.0,0.16,0.16,0.0,0.16,0.04,0.03,0.07,0.04,0.07,Matches,Everton,2024,
19,Armando Broja,al ALB,FW,23-239,10.0,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,12.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,Everton,2024,
20,Nathan Patterson,sct SCO,DF,23-203,10.0,3,347.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,6.0,13.0,18.0,0.0,0.26,0.26,0.0,0.26,0.02,0.11,0.13,0.02,0.13,Matches,Everton,2024,
21,Séamus Coleman,ie IRL,DF,36-208,3.0,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,Everton,2024,
22,Roman Dixon,eng ENG,DF,20-132,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,2024,
23,Harrison Armstrong,eng ENG,MF,18-108,3.0,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,0.82,Matches,Everton,2024,
24,Youssef Chermiti,pt POR,"FW,MF",20-348,4.0,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,Everton,2024,
25,Mason Holgate,eng ENG,"FW,DF",28-197,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,2024,
26,Callum Bates,eng ENG,MF,19-221,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
27,Asmir Begović,ba BIH,GK,37-321,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
28,Coby Ebere,de GER,MF,19-232,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
29,Isaac Heath,eng ENG,FW,20-191,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
30,Neal Maupay,fr FRA,"FW,MF",28-266,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
31,Jenson Metcalfe,eng ENG,MF,20-243,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
32,Martin Sherif,nl NED,FW,18-331,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
33,João Virgínia,pt POR,GK,25-209,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
0,Bernd Leno,de GER,GK,33-064,,35,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,2024,35.0
1,Antonee Robinson,us USA,DF,27-272,,33,2989.0,33.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,4.1,4.8,114.0,123.0,265.0,0.0,0.3,0.3,0.0,0.3,0.02,0.12,0.15,0.02,0.15,Matches,Fulham,2024,34.0
