,Player,Nation,Pos,Age,ptime_MP,ptime_Starts,ptime_Min,ptime_90s,perf_Gls,perf_Ast,perf_G+A,perf_G-PK,perf_PK,perf_PKatt,perf_CrdY,perf_CrdR,exp_xG,exp_npxG,exp_xAG,exp_npxG+xAG,prog_PrgC,prog_PrgP,prog_PrgR,p90_Gls,p90_Ast,p90_G+A,p90_G-PK,p90_G+A-PK,p90_xG,p90_xAG,p90_xG+xAG,p90_npxG,p90_npxG+xAG,Matches,Team,Season,MP
33,Eddie Nketiah,eng ENG,FW,25-342,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
34,Salah Oulad M'Hand,nl NED,MF,21-260,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
35,Jack Porter,eng ENG,GK,16-296,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
36,Aaron Ramsdale,eng ENG,GK,26-358,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
37,Tommy Setford,eng ENG,GK,19-055,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
0,Youri Tielemans,be BEL,MF,28-000,,35,2997.0,33.3,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0,3.1,2.3,6.9,9.2,39.0,234.0,48.0,0.09,0.21,0.3,0.09,0.3,0.09,0.21,0.3,0.07,0.28,Matches,Aston Villa,2024,35.0
1,Emiliano Martínez,ar ARG,GK,32-247,,34,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Aston Villa,2024,34.0
2,Morgan Rogers,eng ENG,"FW,MF",22-285,,34,2853.0,31.7,8.0,8.0,16.0,8.0,0.0,0.0,9.0,0.0,6.2,6.2,7.4,13.6,108.0,117.0,177.0,0.25,0.25,0.5,0.25,0.5,0.2,0.23,0.43,0.2,0.43,Matches,Aston Villa,2024,34.0
3,Ezri Konsa,eng ENG,DF,27-196,,30,2666.0,29.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.4,1.3,17.0,77.0,11.0,0.03,0.0,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,Matches,Aston Villa,2024,31.0
4,Ollie Watkins,eng ENG,FW,29-128,,28,2333.0,25.9,15.0,7.0,22.0,13.0,2.0,2.0,2.0,0.0,14.7,13.2,3.0,16.2,52.0,29.0,148.0,0.58,0.27,0.85,0.5,0.77,0.57,0.12,0.69,0.51,0.62,Matches,Aston Villa,2024,35.0
