,Player,Nation,Pos,Age,90s,tackles_Tkl,tackles_TklW,tackles_Def 3rd,tackles_Mid 3rd,tackles_Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,blocks_Blocks,blocks_Sh,blocks_Pass,Int,Tkl+Int,Clr,Err,Matches,Team,Season
85,Beñat Prados,es ESP,MF,24-090,17.9,51,33,19,24,8,23,51,45.1,28,21,2,19,28,79,25,0,Matches,Athletic Club,2024
86,Gorka Guruzeta,es ESP,FW,28-239,18.1,15,8,1,12,2,7,28,25.0,21,27,4,23,8,23,19,0,Matches,Athletic Club,2024
87,Aitor Paredes,es ESP,DF,25-010,18.1,11,9,8,3,0,5,12,41.7,7,22,12,10,22,33,107,4,Matches,Athletic Club,2024
88,Yuri Berchiche,es ESP,DF,35-088,18.7,32,20,18,11,3,19,30,63.3,11,20,3,17,20,52,47,2,Matches,Athletic Club,2024
89,Yeray Álvarez,es ESP,DF,30-105,17.8,24,13,13,9,2,14,20,70.0,6,10,6,4,33,57,104,1,Matches,Athletic Club,2024
90,Oihan Sancet,es ESP,MF,25-014,16.3,12,7,6,5,1,4,12,33.3,8,9,0,9,5,17,5,0,Matches,Athletic Club,2024
91,Unai Simón,es ESP,GK,27-332,17.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,10,4,Matches,Athletic Club,2024
92,Andoni Gorosabel,es ESP,DF,28-278,15.6,43,25,27,9,7,27,41,65.9,14,17,2,15,17,60,54,0,Matches,Athletic Club,2024
93,Óscar de Marcos,es ESP,DF,36-025,15.3,28,13,13,11,4,19,34,55.9,15,15,1,14,14,42,30,0,Matches,Athletic Club,2024
94,Iñigo Ruiz de Galarreta,es ESP,MF,31-276,13.9,34,21,11,17,6,19,29,65.5,10,8,3,5,12,46,9,2,Matches,Athletic Club,2024
95,Julen Agirrezabala,es ESP,GK,24-134,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Matches,Athletic Club,2024
96,Unai Gómez,es ESP,"MF,FW",21-349,12.3,10,6,3,6,1,4,6,66.7,2,12,1,11,2,12,12,0,Matches,Athletic Club,2024
97,Adama Boiro,es ESP,DF,22-321,11.2,20,11,11,7,2,10,14,71.4,4,8,3,5,12,32,26,1,Matches,Athletic Club,2024
98,Mikel Vesga,es ESP,MF,31-353,9.8,20,14,7,12,1,10,26,38.5,16,10,1,9,13,33,20,0,Matches,Athletic Club,2024
99,Iñigo Lekue,es ESP,DF,32-005,7.6,15,12,12,3,0,9,17,52.9,8,7,2,5,7,22,26,2,Matches,Athletic Club,2024
100,Álvaro djaló,es ESP,FW,25-266,6.7,7,5,3,2,2,1,3,33.3,2,3,0,3,1,8,4,0,Matches,Athletic Club,2024
101,Unai Núñez,es ESP,DF,28-099,6.5,9,4,6,3,0,3,6,50.0,3,4,4,0,17,26,42,1,Matches,Athletic Club,2024
102,Maroan Sannadi,es ESP,FW,24-097,5.7,1,0,1,0,0,1,4,25.0,3,1,0,1,0,1,1,0,Matches,Athletic Club,2024
103,Alex Padilla,es ESP,GK,21-250,3.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,Matches,Athletic Club,2024
104,Ander Herrera,es ESP,MF,35-268,3.0,8,4,1,7,0,3,6,50.0,3,1,0,1,2,10,10,0,Matches,Athletic Club,2024
105,Peio Canales,es ESP,"MF,FW",20-112,2.1,2,2,0,0,2,1,1,100.0,0,1,0,1,2,4,1,0,Matches,Athletic Club,2024
106,Nicolás Serrano,es ESP,FW,22-065,1.2,1,1,0,1,0,1,3,33.3,2,4,0,4,1,2,1,0,Matches,Athletic Club,2024
107,Javi Martón,es ESP,"FW,MF",26-003,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Athletic Club,2024
108,Adu Ares,es ESP,FW,23-209,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,Athletic Club,2024
109,Endika Buján,es ESP,FW,22-113,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,Athletic Club,2024
110,Diego Llorente,es ESP,DF,31-266,28.0,36,20,23,12,1,25,38,65.8,13,29,20,9,43,79,154,1,Matches,Real Betis,2024
111,Johnny Cardoso,us USA,MF,23-231,21.7,51,28,12,31,8,20,50,40.0,30,26,12,14,46,97,58,1,Matches,Real Betis,2024
112,Marc Bartra,es ESP,DF,34-114,20.5,26,16,17,9,0,12,20,60.0,8,33,21,12,30,56,141,0,Matches,Real Betis,2024
113,Romain Perraud,fr FRA,DF,27-229,20.1,35,21,15,15,5,20,45,44.4,25,15,3,12,21,56,66,1,Matches,Real Betis,2024
114,Abde Ezzalzouli,ma MAR,"FW,MF",23-143,19.6,35,25,17,15,3,14,25,56.0,11,20,3,17,6,41,15,0,Matches,Real Betis,2024
115,Natan,br BRA,DF,24-092,20.2,32,21,21,9,2,23,27,85.2,4,22,13,9,23,55,104,1,Matches,Real Betis,2024
116,Sergi Altimira,es ESP,MF,23-257,19.5,54,32,15,33,6,32,55,58.2,23,27,1,26,20,74,40,2,Matches,Real Betis,2024
117,Youssouf Sabaly,sn SEN,DF,32-065,17.3,39,25,20,15,4,24,32,75.0,8,20,3,17,13,52,39,0,Matches,Real Betis,2024
118,Pablo Fornals,es ESP,"MF,FW",29-076,17.1,16,10,9,6,1,6,24,25.0,18,19,1,18,20,36,13,1,Matches,Real Betis,2024
119,Adrián,es ESP,GK,38-126,15.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,2,Matches,Real Betis,2024
120,Rui Silva,pt POR,GK,31-091,15.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,7,0,Matches,Real Betis,2024
121,Isco,es ESP,MF,33-018,14.6,16,9,1,11,4,7,26,26.9,19,9,0,9,8,24,6,0,Matches,Real Betis,2024
122,Vitor Roque,br BRA,FW,20-070,13.7,11,6,1,6,4,1,5,20.0,4,5,0,5,7,18,4,0,Matches,Real Betis,2024
123,Giovani Lo Celso,ar ARG,"MF,FW",29-030,14.5,33,22,8,16,9,16,24,66.7,8,14,2,12,5,38,3,1,Matches,Real Betis,2024
124,Ricardo Rodríguez,ch SUI,DF,32-257,12.3,25,13,13,5,7,16,25,64.0,9,8,1,7,6,31,45,0,Matches,Real Betis,2024
125,Antony,br BRA,FW,25-074,12.2,18,7,3,8,7,5,17,29.4,12,10,1,9,9,27,9,1,Matches,Real Betis,2024
126,Jesus Rodríguez,es ESP,FW,19-169,10.8,16,14,6,6,4,5,12,41.7,7,13,0,13,6,22,2,0,Matches,Real Betis,2024
127,Marc Roca,es ESP,MF,28-164,10.1,20,14,10,9,1,9,17,52.9,8,17,5,12,14,34,14,2,Matches,Real Betis,2024
128,Cucho,co COL,FW,26-019,9.7,12,8,1,5,6,5,9,55.6,4,13,1,12,6,18,3,0,Matches,Real Betis,2024
129,Aitor Ruibal,es ESP,"DF,FW",29-048,11.0,21,15,15,3,3,16,27,59.3,11,15,4,11,11,32,27,0,Matches,Real Betis,2024
130,Ezequiel Ávila,ar ARG,FW,31-092,7.5,8,3,2,2,4,4,10,40.0,6,4,0,4,2,10,8,0,Matches,Real Betis,2024
131,Héctor Bellerín,es ESP,DF,30-051,6.4,13,7,7,4,2,10,17,58.8,7,5,3,2,6,19,21,0,Matches,Real Betis,2024
132,Cédric Bakambu,cd COD,FW,34-028,6.9,6,4,0,5,1,3,7,42.9,4,11,2,9,0,6,5,0,Matches,Real Betis,2024
133,William Carvalho,pt POR,MF,33-032,4.3,5,3,1,4,0,3,5,60.0,2,5,1,4,3,8,4,0,Matches,Real Betis,2024
134,Fran Vieites,es ESP,GK,26-002,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,Real Betis,2024
135,Ángel Ortíz,es ESP,DF,20-288,3.8,10,7,7,3,0,6,15,40.0,9,6,0,6,5,15,7,0,Matches,Real Betis,2024
136,Iker Losada,es ESP,"MF,FW",23-281,3.7,10,7,2,4,4,5,10,50.0,5,2,0,2,3,13,2,0,Matches,Real Betis,2024
137,Assane Diao,sn SEN,FW,19-244,3.1,5,3,1,3,1,4,9,44.4,5,3,0,3,0,5,3,0,Matches,Real Betis,2024
138,Juanmi,es ESP,"FW,MF",31-354,2.7,7,4,3,3,1,4,6,66.7,2,4,0,4,1,8,4,0,Matches,Real Betis,2024
139,Nabil Fekir,fr FRA,MF,31-295,2.0,3,2,1,1,1,1,2,50.0,1,2,0,2,0,3,0,0,Matches,Real Betis,2024
140,Carlos Guirao,es ESP,MF,22-012,1.2,5,3,1,4,0,4,6,66.7,2,1,1,0,3,8,2,0,Matches,Real Betis,2024
141,Mateo Flores,es ESP,MF,21-032,1.7,3,1,3,0,0,1,1,100.0,0,1,0,1,2,5,3,0,Matches,Real Betis,2024
142,Rodri,es ESP,FW,24-358,1.3,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,1,1,Matches,Real Betis,2024
143,Sergio Arribas,es ESP,DF,22-088,1.0,7,4,4,3,0,6,7,85.7,1,2,2,0,3,10,4,0,Matches,Real Betis,2024
144,Pablo Garcia,es ESP,FW,18-267,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,Real Betis,2024
145,Sergi Cardona,es ESP,DF,25-305,30.7,66,44,40,19,7,45,73,61.6,28,48,7,41,33,99,114,1,Matches,Villarreal,2024
146,Santi Comesaña,es ESP,MF,28-216,26.1,83,47,42,32,9,40,70,57.1,30,49,17,32,17,100,47,1,Matches,Villarreal,2024
147,Kiko Femenía,es ESP,DF,34-096,24.7,50,34,34,14,2,33,57,57.9,24,21,10,11,40,90,62,3,Matches,Villarreal,2024
148,Alex Baena,es ESP,MF,23-293,25.2,26,14,6,13,7,9,33,27.3,24,28,2,26,21,47,19,2,Matches,Villarreal,2024
149,Logan Costa,cv CPV,DF,24-038,24.7,35,19,22,12,1,22,25,88.0,3,20,11,9,17,52,100,1,Matches,Villarreal,2024
150,Thierno Barry,fr FRA,FW,22-200,24.3,11,8,2,5,4,4,10,40.0,6,15,2,13,0,11,18,0,Matches,Villarreal,2024
151,Daniel Parejo,es ESP,MF,36-023,23.2,48,37,24,19,5,26,48,54.2,22,21,6,15,22,70,33,1,Matches,Villarreal,2024
152,Pape Gueye,sn SEN,MF,26-105,22.0,52,25,21,23,8,19,26,73.1,7,28,10,18,24,76,48,1,Matches,Villarreal,2024
153,Diego Conde,es ESP,GK,26-193,20.8,2,2,2,0,0,2,4,50.0,2,0,0,0,1,3,9,2,Matches,Villarreal,2024
154,Yeremi Pino,es ESP,MF,22-201,18.5,52,27,16,28,8,27,54,50.0,27,35,3,32,8,60,16,0,Matches,Villarreal,2024
155,Ayoze Pérez,es ESP,FW,31-284,19.6,23,12,5,15,3,6,22,27.3,16,16,0,16,7,30,13,0,Matches,Villarreal,2024
