,Player,Nation,Pos,Age,90s,tackles_Tkl,tackles_TklW,tackles_Def 3rd,tackles_Mid 3rd,tackles_Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,blocks_Blocks,blocks_Sh,blocks_Pass,Int,Tkl+Int,Clr,Err,Matches,Team,Season
360,Coba da Costa,es ESP,"MF,FW",22-287,9.9,27,12,9,15,3,12,24,50.0,12,21,0,21,7,34,7,0,Matches,Getafe,2024
361,Juan Berrocal,es ESP,DF,26-005,10.6,14,7,10,4,0,10,13,76.9,3,3,2,1,13,27,50,0,Matches,Getafe,2024
362,Allan Nyom,cm CMR,"DF,MF",36-364,7.7,13,7,5,7,1,10,12,83.3,2,4,2,2,2,15,18,0,Matches,Getafe,2024
363,Juanmi,es ESP,"FW,MF",31-354,7.4,14,11,4,7,3,6,16,37.5,10,6,0,6,2,16,3,0,Matches,Getafe,2024
364,Juan Bernat,es ESP,"MF,DF",32-069,7.0,16,12,8,5,3,6,11,54.5,5,8,3,5,2,18,8,0,Matches,Getafe,2024
365,Álvaro Rodríguez,uy URU,FW,20-299,7.9,9,6,0,6,3,4,8,50.0,4,21,0,21,3,12,12,0,Matches,Getafe,2024
366,Carles Aleñá,es ESP,"MF,FW",27-124,5.0,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0,Matches,Getafe,2024
367,Borja Mayoral,es ESP,FW,28-034,9.3,2,2,1,1,0,1,5,20.0,4,3,0,3,0,2,6,0,Matches,Getafe,2024
368,Jesús Santiago,es ESP,MF,20-349,3.6,12,7,6,6,0,5,9,55.6,4,5,2,3,1,13,3,0,Matches,Getafe,2024
369,Nabil Aberdin,fr FRA,MF,22-259,2.9,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0,Matches,Getafe,2024
370,Peter González,do DOM,"MF,FW",22-288,4.4,9,5,1,4,4,4,7,57.1,3,6,0,6,1,10,5,0,Matches,Getafe,2024
371,Abdoulaye Keita,es ESP,"FW,MF",22-250,1.1,2,2,0,1,1,2,4,50.0,2,1,0,1,0,2,3,0,Matches,Getafe,2024
372,Alberto Risco,es ESP,"MF,FW",19-252,0.8,4,4,2,0,2,1,6,16.7,5,2,0,2,0,4,0,0,Matches,Getafe,2024
373,John Joe,ie IRL,"MF,FW",21-197,0.5,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,Matches,Getafe,2024
374,Gorka Rivera Alonso,es ESP,"DF,MF",20-281,0.2,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches,Getafe,2024
375,Ismael Bekhoucha,ma MAR,"DF,MF",20-170,0.1,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Matches,Getafe,2024
376,David Argüelles,es ESP,MF,23-128,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches,Getafe,2024
377,Joan García,es ESP,GK,24-005,34.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,18,4,Matches,Espanyol,2024
378,Omar El Hilali,ma MAR,DF,21-239,32.1,106,76,77,24,5,60,90,66.7,30,48,12,36,43,149,140,2,Matches,Espanyol,2024
379,Marash Kumbulla,al ALB,DF,25-090,30.0,49,24,34,13,2,24,39,61.5,15,44,33,11,31,80,207,2,Matches,Espanyol,2024
380,Javi Puado,es ESP,"FW,MF",26-349,29.5,19,15,11,4,4,8,15,53.3,7,14,2,12,5,24,19,0,Matches,Espanyol,2024
381,Leandro Cabrera,uy URU,DF,33-326,29.0,37,21,26,8,3,17,30,56.7,13,34,24,10,28,65,188,2,Matches,Espanyol,2024
382,Alex Král,cz CZE,MF,26-355,29.2,54,36,28,23,3,16,29,55.2,13,33,14,19,27,81,49,2,Matches,Espanyol,2024
383,Carlos Romero,es ESP,DF,23-192,24.4,59,37,43,13,3,36,68,52.9,32,43,14,29,23,82,91,1,Matches,Espanyol,2024
384,Jofre,es ESP,"MF,FW",23-326,22.4,21,15,13,5,3,12,21,57.1,9,13,0,13,15,36,28,0,Matches,Espanyol,2024
385,Pol Lozano,es ESP,MF,25-215,19.8,50,33,20,25,5,24,54,44.4,30,28,5,23,21,71,29,0,Matches,Espanyol,2024
386,Roberto Férnandez,es ESP,FW,22-310,13.1,4,4,2,1,1,0,3,0.0,3,7,1,6,3,7,21,0,Matches,Espanyol,2024
387,Álvaro Tejero,es ESP,"MF,DF",28-293,13.2,12,4,5,6,1,5,20,25.0,15,9,1,8,12,24,34,1,Matches,Espanyol,2024
388,Urko González,es ESP,MF,24-050,11.5,36,20,21,14,1,22,31,71.0,9,22,10,12,7,43,29,0,Matches,Espanyol,2024
389,Brian Oliván,es ESP,DF,31-038,11.3,13,10,7,6,0,4,13,30.8,9,6,2,4,10,23,23,0,Matches,Espanyol,2024
390,Antoniu,es ESP,"MF,FW",22-246,9.8,20,9,8,8,4,9,18,50.0,9,13,2,11,7,27,10,1,Matches,Espanyol,2024
391,Alejo Véliz,ar ARG,FW,21-232,11.2,1,1,0,1,0,1,6,16.7,5,11,2,9,4,5,21,1,Matches,Espanyol,2024
392,Edu Expósito,es ESP,MF,28-281,8.0,16,9,5,11,0,6,18,33.3,12,3,0,3,10,26,16,2,Matches,Espanyol,2024
393,José Gragera,es ESP,MF,24-160,6.3,25,16,11,14,0,9,17,52.9,8,9,1,8,5,30,13,0,Matches,Espanyol,2024
394,Sergi Gómez,es ESP,DF,33-042,7.2,8,5,7,1,0,2,3,66.7,1,12,8,4,7,15,36,0,Matches,Espanyol,2024
395,Walid Cheddira,ma MAR,FW,27-107,6.8,5,0,1,1,3,0,1,0.0,1,4,0,4,1,6,6,0,Matches,Espanyol,2024
396,Irvin Cardona,fr FRA,"FW,MF",27-274,6.7,8,5,2,4,2,6,16,37.5,10,5,1,4,4,12,10,0,Matches,Espanyol,2024
397,Álvaro Aguado,es ESP,MF,29-008,4.8,4,2,2,2,0,2,8,25.0,6,6,1,5,4,8,5,1,Matches,Espanyol,2024
398,Fernando Calero,es ESP,"DF,MF",29-237,5.3,12,6,9,3,0,5,6,83.3,1,11,6,5,13,25,31,0,Matches,Espanyol,2024
399,Justin Smith,ca CAN,MF,22-094,2.3,9,3,3,6,0,4,6,66.7,2,5,1,4,4,13,3,0,Matches,Espanyol,2024
400,Rafael Bauza,es ESP,MF,20-099,2.0,5,3,3,1,1,4,7,57.1,3,3,1,2,0,5,5,0,Matches,Espanyol,2024
401,Pere Milla,es ESP,"MF,FW",32-228,3.5,4,1,3,0,1,0,14,0.0,14,9,2,7,2,6,4,0,Matches,Espanyol,2024
402,Naci Ünüvar,nl NED,"MF,DF",21-330,0.3,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches,Espanyol,2024
403,Roger Hinojo,es ESP,DF,20-077,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,Espanyol,2024
404,Paulo Gazzaniga,ar ARG,GK,33-127,33.5,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,14,3,Matches,Girona,2024
405,Miguel Gutiérrez,es ESP,"DF,MF",23-286,27.3,37,24,18,16,3,17,37,45.9,20,17,7,10,16,53,34,3,Matches,Girona,2024
406,Daley Blind,nl NED,DF,35-061,26.9,40,23,22,14,4,25,39,64.1,14,29,8,21,23,63,82,1,Matches,Girona,2024
407,Arnau Martinez,es ESP,"DF,MF",22-014,25.7,42,22,25,11,6,26,54,48.1,28,15,6,9,25,67,64,2,Matches,Girona,2024
408,David López,es ESP,DF,35-212,25.0,30,22,20,7,3,17,30,56.7,13,21,11,10,12,42,99,1,Matches,Girona,2024
409,Ladislav Krejčí,cz CZE,DF,26-019,24.1,21,15,17,4,0,12,24,50.0,12,24,19,5,32,53,84,4,Matches,Girona,2024
410,Yangel Herrera,ve VEN,MF,27-115,22.3,57,35,26,25,6,27,53,50.9,26,18,3,15,28,85,43,1,Matches,Girona,2024
411,Iván Martín,es ESP,MF,26-084,20.4,28,16,13,12,3,13,31,41.9,18,17,4,13,11,39,15,1,Matches,Girona,2024
412,Bryan Gil,es ESP,"FW,MF",24-087,19.1,34,20,10,15,9,14,30,46.7,16,24,0,24,10,44,9,4,Matches,Girona,2024
413,Viktor Tsyhankov,ua UKR,"FW,MF",27-175,17.6,17,11,3,6,8,7,16,43.8,9,4,0,4,11,28,11,1,Matches,Girona,2024
414,Donny van de Beek,nl NED,MF,28-021,15.8,29,18,17,7,5,13,26,50.0,13,19,3,16,10,39,12,0,Matches,Girona,2024
415,Oriol Romeu,es ESP,MF,33-227,13.8,32,22,13,16,3,12,22,54.5,10,20,7,13,11,43,18,3,Matches,Girona,2024
416,Abel Ruiz,es ESP,FW,25-101,13.6,6,2,2,2,2,2,5,40.0,3,7,2,5,4,10,7,0,Matches,Girona,2024
417,Arnaut Danjuma,nl NED,"FW,MF",28-098,14.6,8,6,3,3,2,2,7,28.6,5,5,1,4,2,10,4,0,Matches,Girona,2024
418,Yaser Asprilla,co COL,"FW,MF",21-171,12.6,15,9,5,6,4,6,16,37.5,10,10,0,10,5,20,4,1,Matches,Girona,2024
419,Bojan Miovski,mk MKD,FW,25-319,9.5,7,5,2,2,3,2,7,28.6,5,4,0,4,2,9,7,0,Matches,Girona,2024
420,Alejandro Francés,es ESP,DF,22-281,10.6,29,21,15,13,1,22,31,71.0,9,12,5,7,15,44,37,0,Matches,Girona,2024
421,Arthur Melo,br BRA,MF,28-270,7.3,22,9,7,12,3,13,23,56.5,10,4,1,3,5,27,7,1,Matches,Girona,2024
422,Juanpe,es ESP,DF,34-009,6.8,8,5,5,3,0,6,8,75.0,2,14,9,5,8,16,46,1,Matches,Girona,2024
423,Cristhian Stuani,uy URU,FW,38-209,9.2,8,7,1,6,1,4,5,80.0,1,4,1,3,5,13,8,0,Matches,Girona,2024
424,Portu,es ESP,"FW,MF",32-353,6.2,11,5,5,3,3,6,9,66.7,3,6,0,6,0,11,2,0,Matches,Girona,2024
425,Jhon Solis,co COL,MF,20-218,5.2,10,5,3,6,1,5,13,38.5,8,12,1,11,4,14,6,1,Matches,Girona,2024
426,Silvi Clúa,es ESP,MF,20-100,1.8,8,7,4,3,1,4,6,66.7,2,1,0,1,2,10,6,0,Matches,Girona,2024
427,Gabriel Osei Misehouy,nl NED,"FW,MF",19-295,2.9,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches,Girona,2024
428,Iker Almena,es ESP,"FW,DF",21-005,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches,Girona,2024
429,Papa Ba,es ESP,MF,20-239,0.5,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0,Matches,Girona,2024
430,Pau López,es ESP,GK,30-147,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,Girona,2024
431,Kim Minsu,kr KOR,"MF,FW",19-110,0.2,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches,Girona,2024
432,Ferrán Ruiz,es ESP,MF,22-013,0.2,0,0,0,0,0,0,0,,0,2,1,1,1,1,0,0,Matches,Girona,2024
433,Dodi Lukebakio,be BEL,FW,27-227,31.4,21,13,8,8,5,14,26,53.8,12,16,0,16,5,26,16,2,Matches,Sevilla,2024
434,Carmona,es ESP,DF,23-100,30.0,77,55,48,21,8,37,70,52.9,33,32,10,22,63,140,88,3,Matches,Sevilla,2024
435,Loïc Bade,fr FRA,DF,25-028,28.2,43,25,33,10,0,21,29,72.4,8,19,11,8,28,71,153,2,Matches,Sevilla,2024
436,Ørjan Nyland,no NOR,GK,34-241,26.7,3,2,3,0,0,3,5,60.0,2,0,0,0,0,3,11,4,Matches,Sevilla,2024
437,Isaac Romero,es ESP,FW,24-356,23.4,12,6,3,4,5,2,15,13.3,13,18,1,17,7,19,26,0,Matches,Sevilla,2024
438,Adrià Pedrosa,es ESP,DF,26-361,23.5,55,32,33,16,6,30,52,57.7,22,40,9,31,20,75,81,0,Matches,Sevilla,2024
439,Nemanja Gudelj,rs SRB,"MF,DF",33-174,24.3,37,20,12,21,4,18,29,62.1,11,26,10,16,25,62,82,0,Matches,Sevilla,2024
440,Kike Salas,es ESP,DF,23-016,21.4,42,25,21,15,6,23,38,60.5,15,22,12,10,30,72,130,0,Matches,Sevilla,2024
441,Djibril Sow,ch SUI,MF,28-092,20.7,21,12,11,9,1,7,16,43.8,9,15,2,13,22,43,25,1,Matches,Sevilla,2024
442,Lucien Agoume,fr FRA,MF,23-089,19.5,56,24,17,31,8,20,28,71.4,8,25,9,16,31,87,35,0,Matches,Sevilla,2024
443,Saúl Ñíguez,es ESP,MF,30-169,16.2,44,30,15,22,7,11,29,37.9,18,25,2,23,19,63,32,0,Matches,Sevilla,2024
444,Albert Sambi Lokonga,be BEL,MF,25-199,15.6,21,15,10,9,2,10,13,76.9,3,12,1,11,9,30,24,3,Matches,Sevilla,2024
445,Juanlu Sánchez,es ESP,"MF,DF",21-267,15.5,36,26,21,12,3,25,41,61.0,16,17,0,17,12,48,15,0,Matches,Sevilla,2024
446,Peque,es ESP,"MF,FW",22-217,11.4,15,5,4,9,2,6,15,40.0,9,16,0,16,7,22,5,0,Matches,Sevilla,2024
447,Chidera Ejuke,ng NGA,FW,27-127,10.6,19,13,8,9,2,9,20,45.0,11,12,0,12,5,24,8,0,Matches,Sevilla,2024
448,Ruben Vargas,ch SUI,"FW,MF",26-277,7.5,7,4,1,5,1,3,8,37.5,5,9,0,9,3,10,10,0,Matches,Sevilla,2024
449,Álvaro Fernández,es ESP,GK,27-026,7.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches,Sevilla,2024
450,Tanguy Nianzou,fr FRA,DF,22-336,5.8,7,5,6,0,1,5,6,83.3,1,1,0,1,8,15,27,0,Matches,Sevilla,2024
451,Marcão,br BRA,DF,28-338,5.1,9,6,6,3,0,2,3,66.7,1,9,6,3,6,15,27,1,Matches,Sevilla,2024
452,Kelechi Iheanacho,ng NGA,FW,28-218,4.4,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,1,0,Matches,Sevilla,2024
453,Jesús Navas,es ESP,"FW,MF",39-169,4.7,5,2,3,0,2,0,3,0.0,3,1,0,1,4,9,6,0,Matches,Sevilla,2024
454,Valentín Barco,ar ARG,"DF,FW",20-290,3.2,15,9,8,3,4,12,15,80.0,3,0,0,0,2,17,5,0,Matches,Sevilla,2024
455,Stanis Idumbo,be BEL,"FW,MF",19-314,3.2,9,5,3,4,2,3,5,60.0,2,3,1,2,4,13,2,0,Matches,Sevilla,2024
456,Lucas Ocampos,ar ARG,FW,30-302,1.9,3,2,2,0,1,1,2,50.0,1,2,0,2,0,3,2,0,Matches,Sevilla,2024
457,Suso,es ESP,"FW,MF",31-171,3.5,3,1,2,1,0,1,5,20.0,4,3,0,3,2,5,0,0,Matches,Sevilla,2024
458,Álvaro Pascual,es ESP,FW,23-128,2.2,1,0,0,0,1,1,2,50.0,1,0,0,0,2,3,0,0,Matches,Sevilla,2024
459,Akor Adams,ng NGA,FW,25-100,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches,Sevilla,2024
460,Manu Bueno,es ESP,"MF,FW",20-286,1.3,4,3,0,1,3,1,2,50.0,1,0,0,0,0,4,2,0,Matches,Sevilla,2024
461,Gonzalo Montiel,ar ARG,"DF,MF",28-128,1.3,4,2,3,1,0,3,4,75.0,1,0,0,0,2,6,11,0,Matches,Sevilla,2024
462,Ramón Martínez,es ESP,DF,22-199,1.1,2,1,1,1,0,0,0,,0,0,0,0,2,4,14,0,Matches,Sevilla,2024
463,Diego Iturralde,es ESP,FW,22-023,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches,Sevilla,2024
464,Israel Domínguez,es ESP,FW,22-002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Sevilla,2024
465,Leandro Antonetti,pr PUR,FW,22-116,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Sevilla,2024
466,Mateo Mejía,es ESP,FW,22-039,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Sevilla,2024
467,Darío Fuentes,es ESP,DF,22-117,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Sevilla,2024
468,Carlos Vicente,es ESP,"FW,MF",26-016,30.4,41,26,23,10,8,23,57,40.4,34,28,2,26,13,54,37,0,Matches,Alaves,2024
469,Nahuel Tenaglia,ar ARG,DF,29-077,29.3,87,52,54,28,5,46,75,61.3,29,29,7,22,37,124,115,2,Matches,Alaves,2024
470,Abdel Abqar,ma MAR,DF,26-060,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1,Matches,Alaves,2024
471,Antonio Sivera,es ESP,GK,28-271,27.2,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,17,0,Matches,Alaves,2024
472,Antonio Blanco,es ESP,MF,24-290,26.6,60,37,20,36,4,31,71,43.7,40,27,6,21,39,99,43,1,Matches,Alaves,2024
473,Kiké,es ESP,FW,35-165,25.6,17,12,1,11,5,5,11,45.5,6,9,2,7,1,18,22,0,Matches,Alaves,2024
474,Manu Sánchez,es ESP,DF,24-258,25.5,69,45,34,25,10,35,57,61.4,22,46,9,37,28,97,61,1,Matches,Alaves,2024
475,Jon Guridi,es ESP,"MF,FW",30-070,20.0,33,17,6,21,6,15,39,38.5,24,19,1,18,12,45,11,0,Matches,Alaves,2024
476,Moussa Diarra,ml MLI,DF,24-180,19.7,38,23,19,16,3,17,28,60.7,11,14,5,9,21,59,40,1,Matches,Alaves,2024
477,Ander Guevara,es ESP,MF,27-306,18.6,43,26,18,24,1,18,42,42.9,24,19,5,14,11,54,40,1,Matches,Alaves,2024
478,Santiago Mouriño,uy URU,DF,23-085,17.5,34,24,26,8,0,18,32,56.3,14,25,11,14,25,59,102,0,Matches,Alaves,2024
479,Carlos Martín,es ESP,"FW,MF",23-017,14.5,39,20,15,16,8,13,49,26.5,36,30,1,29,5,44,18,0,Matches,Alaves,2024
480,Joan Jordán,es ESP,MF,30-307,15.1,31,17,11,16,4,16,29,55.2,13,12,0,12,8,39,20,0,Matches,Alaves,2024
481,Tomás Conechny,ar ARG,"FW,MF",27-040,8.8,12,9,4,6,2,8,24,33.3,16,13,2,11,6,18,8,0,Matches,Alaves,2024
482,Carles Aleñá,es ESP,"MF,FW",27-124,8.5,17,10,6,6,5,7,15,46.7,8,7,0,7,2,19,3,0,Matches,Alaves,2024
483,Toni Martínez,es ESP,"FW,MF",27-313,10.1,11,6,4,4,3,3,4,75.0,1,7,2,5,0,11,11,0,Matches,Alaves,2024
484,Stoichkov,es ESP,"MF,FW",31-185,7.8,14,9,6,7,1,6,11,54.5,5,2,0,2,1,15,7,0,Matches,Alaves,2024
485,Aleksandar Sedlar,rs SRB,DF,33-147,5.7,17,9,7,10,0,8,10,80.0,2,2,1,1,9,26,18,1,Matches,Alaves,2024
486,Jesús Owono,gq EQG,GK,24-069,5.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches,Alaves,2024
487,Pica,es ESP,DF,23-128,5.4,9,7,7,2,0,4,9,44.4,5,7,6,1,8,17,23,0,Matches,Alaves,2024
488,Carlos Benavídez,uy URU,MF,27-040,4.4,12,9,6,4,2,4,8,50.0,4,4,2,2,8,20,11,1,Matches,Alaves,2024
489,Abderrahman Rebbach,dz ALG,"FW,MF",26-271,4.3,3,2,3,0,0,0,6,0.0,6,4,0,4,0,3,6,0,Matches,Alaves,2024
490,Facundo Garcés,ar ARG,DF,25-246,3.5,2,0,2,0,0,1,2,50.0,1,6,5,1,2,4,28,0,Matches,Alaves,2024
491,Asier Villalibre,es ESP,FW,27-221,3.5,1,1,0,0,1,1,2,50.0,1,1,0,1,1,2,7,0,Matches,Alaves,2024
492,Hugo Novoa,es ESP,"DF,MF",22-128,2.6,8,5,4,3,1,5,5,100.0,0,2,1,1,0,8,6,0,Matches,Alaves,2024
493,Luka Romero,ar ARG,"FW,MF",20-172,2.2,4,4,1,1,2,2,3,66.7,1,2,0,2,1,5,0,0,Matches,Alaves,2024
494,Pau Cabanes,es ESP,"MF,FW",20-081,2.0,7,2,4,2,1,5,11,45.5,6,1,0,1,0,7,1,0,Matches,Alaves,2024
495,Adrian Rodriguez,es ESP,GK,24-148,1.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1,Matches,Alaves,2024
496,Luis Rioja,es ESP,FW,31-205,0.3,2,1,0,1,1,1,2,50.0,1,2,0,2,0,2,0,0,Matches,Alaves,2024
497,Alberto Moleiro,es ESP,"FW,MF",21-221,27.4,25,11,10,14,1,18,48,37.5,30,23,0,23,16,41,8,0,Matches,Las Palmas,2024
498,Álex Suárez,es ESP,DF,32-052,25.8,39,22,29,9,1,20,27,74.1,7,35,21,14,12,51,100,1,Matches,Las Palmas,2024
499,Javier Muñoz,es ESP,"MF,DF",30-070,27.8,43,34,18,15,10,15,43,34.9,28,24,4,20,29,72,36,3,Matches,Las Palmas,2024
500,Jasper Cillessen,nl NED,GK,36-017,25.9,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,11,2,Matches,Las Palmas,2024
501,Scott McKenna,sct SCO,DF,28-178,25.4,18,12,13,5,0,9,12,75.0,3,34,26,8,9,27,146,2,Matches,Las Palmas,2024
502,Mika Mármol,es ESP,DF,23-312,23.7,53,23,31,20,2,29,43,67.4,14,41,13,28,36,89,105,2,Matches,Las Palmas,2024
503,Sandro Ramírez,es ESP,"FW,MF",29-304,21.4,26,15,9,13,4,13,29,44.8,16,18,0,18,16,42,21,2,Matches,Las Palmas,2024
504,Fábio Silva,pt POR,FW,22-294,20.7,12,7,4,5,3,4,14,28.6,10,12,0,12,4,16,27,0,Matches,Las Palmas,2024
505,Dario Essugo,pt POR,MF,20-056,18.9,54,42,27,22,5,26,43,60.5,17,24,9,15,41,95,43,7,Matches,Las Palmas,2024
506,Kirian Rodríguez,es ESP,MF,29-065,19.5,33,17,12,18,3,22,43,51.2,21,22,4,18,10,43,21,0,Matches,Las Palmas,2024
507,Viti,es ESP,DF,27-235,19.5,65,43,41,17,7,29,43,67.4,14,26,6,20,24,89,52,0,Matches,Las Palmas,2024
508,Oliver McBurnie,sct SCO,FW,28-339,17.4,13,7,5,6,2,5,11,45.5,6,14,5,9,5,18,21,0,Matches,Las Palmas,2024
509,Álex Muñoz,es ESP,DF,30-283,15.2,38,29,22,15,1,20,37,54.1,17,28,11,17,16,54,68,0,Matches,Las Palmas,2024
510,José Campaña,es ESP,MF,31-343,12.2,18,14,7,9,2,9,16,56.3,7,8,0,8,18,36,19,2,Matches,Las Palmas,2024
511,Juan Herzog,es ESP,DF,21-361,10.7,11,11,11,0,0,9,14,64.3,5,13,8,5,14,25,54,0,Matches,Las Palmas,2024
512,Stefan Bajcetic,es ESP,"MF,DF",20-199,9.3,25,13,12,10,3,9,24,37.5,15,24,4,20,14,39,24,1,Matches,Las Palmas,2024
513,Marvin,es ESP,"DF,FW",24-310,9.1,21,10,10,7,4,9,22,40.9,13,15,5,10,9,30,25,0,Matches,Las Palmas,2024
514,Dinko Horkaš,hr CRO,GK,26-060,8.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1,Matches,Las Palmas,2024
515,Manuel Fuster,es ESP,"FW,MF",27-199,8.8,16,8,3,8,5,14,26,53.8,12,13,3,10,4,20,14,0,Matches,Las Palmas,2024
516,Enzo Loiodice,fr FRA,MF,24-163,5.6,11,4,6,5,0,3,9,33.3,6,4,1,3,5,16,7,2,Matches,Las Palmas,2024
517,Jaime Mata,es ESP,FW,36-197,5.9,6,1,1,5,0,3,9,33.3,6,4,1,3,3,9,9,0,Matches,Las Palmas,2024
518,Adnan Januzaj,be BEL,"MF,FW",30-093,4.5,9,5,1,5,3,5,7,71.4,2,5,0,5,0,9,2,0,Matches,Las Palmas,2024
519,Andy Pelmard,fr FRA,DF,25-058,2.3,5,0,3,2,0,4,5,80.0,1,3,1,2,2,7,20,0,Matches,Las Palmas,2024
520,Benito Ramírez,es ESP,"DF,MF",29-302,4.3,10,5,4,6,0,9,16,56.3,7,6,3,3,1,11,14,1,Matches,Las Palmas,2024
521,Daley Sinkgraven,nl NED,DF,29-309,1.0,5,1,3,2,0,1,3,33.3,2,1,0,1,1,6,2,0,Matches,Las Palmas,2024
522,Marc Cardona,es ESP,"FW,DF",29-305,1.2,2,1,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0,Matches,Las Palmas,2024
523,Fabio González,es ESP,MF,28-086,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,Las Palmas,2024
524,Pejiño,es ESP,FW,28-284,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,Las Palmas,2024
525,Valentín Pezzolesi,es ESP,DF,18-023,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches,Las Palmas,2024
526,Aboubacar Bassinga,ci CIV,MF,19-300,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Las Palmas,2024
527,Sergi,es ESP,DF,33-019,31.4,38,28,22,15,1,17,31,54.8,14,35,28,7,39,77,182,2,Matches,Leganes,2024
528,Marko Dmitrović,rs SRB,GK,33-105,28.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,25,3,Matches,Leganes,2024
529,Seydouba Cissé,gn GUI,MF,24-088,23.2,47,30,17,22,8,19,39,48.7,20,23,1,22,11,58,40,1,Matches,Leganes,2024
530,Valentin Rosier,fr FRA,DF,28-263,27.1,69,51,48,15,6,41,66,62.1,25,39,14,25,50,119,143,2,Matches,Leganes,2024
531,Yvan Neyou,cm CMR,MF,28-126,24.1,53,33,21,26,6,22,45,48.9,23,33,5,28,25,78,37,1,Matches,Leganes,2024
532,Javi Hernández,es ESP,DF,27-007,23.5,25,15,16,6,3,16,42,38.1,26,22,3,19,22,47,89,0,Matches,Leganes,2024
533,Renato Tapia,pe PER,"MF,DF",29-285,23.2,54,31,26,24,4,20,43,46.5,23,53,20,33,23,77,73,2,Matches,Leganes,2024
534,Juan Cruz,es ESP,"FW,MF",25-014,23.1,30,19,13,15,2,16,32,50.0,16,14,2,12,11,41,27,0,Matches,Leganes,2024
535,Matija Nastasić,rs SRB,DF,32-042,22.6,24,11,21,3,0,16,24,66.7,8,39,30,9,19,43,155,0,Matches,Leganes,2024
536,Dani Raba,es ESP,"FW,MF",29-192,18.1,34,21,16,14,4,15,37,40.5,22,25,2,23,14,48,14,1,Matches,Leganes,2024
537,Miguel,es ESP,FW,25-248,18.6,16,7,6,4,6,4,14,28.6,10,14,4,10,4,20,23,1,Matches,Leganes,2024
538,Darko Brašanac,rs SRB,MF,33-086,17.3,26,11,5,15,6,9,17,52.9,8,24,11,13,15,41,31,0,Matches,Leganes,2024
539,Jorge Sáenz,es ESP,DF,28-173,14.8,30,21,15,14,1,8,14,57.1,6,22,14,8,21,51,138,0,Matches,Leganes,2024
540,Adrià Altimira,es ESP,"DF,FW",24-042,14.1,32,16,21,9,2,17,31,54.8,14,11,6,5,14,46,43,2,Matches,Leganes,2024
541,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",26-315,13.9,31,16,10,15,6,13,29,44.8,16,9,1,8,18,49,18,0,Matches,Leganes,2024
542,Diego,es ESP,"FW,MF",25-021,10.3,0,0,0,0,0,0,4,0.0,4,3,1,2,2,2,10,0,Matches,Leganes,2024
543,Munir El Haddadi,ma MAR,"FW,MF",29-250,7.4,11,8,5,4,2,3,10,30.0,7,6,1,5,1,12,1,1,Matches,Leganes,2024
544,Enric Franquesa,es ESP,"DF,FW",28-072,6.8,17,9,9,6,2,9,13,69.2,4,7,1,6,5,22,12,0,Matches,Leganes,2024
