,Player,Nation,Pos,Age,90s,sca_SCA,sca_SCA90,sca_types_PassLive,sca_types_PassDead,sca_types_TO,sca_types_Sh,sca_types_Fld,sca_types_Def,gca_GCA,gca_GCA90,gca_types_PassLive,gca_types_PassDead,gca_types_TO,gca_types_Sh,gca_types_Fld,gca_types_Def,Matches,Team,Season
115,Natan,br BRA,DF,24-092,20.2,8,0.4,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
116,Sergi Altimira,es ESP,MF,23-257,19.5,48,2.45,37,0,3,2,1,5,1,0.05,1,0,0,0,0,0,Matches,Real Betis,2024
117,Youssouf Sabaly,sn SEN,DF,32-065,17.3,18,1.04,16,1,1,0,0,0,3,0.17,3,0,0,0,0,0,Matches,Real Betis,2024
118,Pablo Fornals,es ESP,"MF,FW",29-076,17.1,78,4.57,69,5,2,2,0,0,8,0.47,8,0,0,0,0,0,Matches,Real Betis,2024
119,Adrián,es ESP,GK,38-126,15.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
120,Rui Silva,pt POR,GK,31-091,15.0,5,0.33,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
121,Isco,es ESP,MF,33-018,14.6,97,6.63,65,22,3,3,3,1,12,0.82,8,4,0,0,0,0,Matches,Real Betis,2024
122,Vitor Roque,br BRA,FW,20-070,13.7,34,2.48,19,0,5,5,5,0,4,0.29,0,0,0,1,3,0,Matches,Real Betis,2024
123,Giovani Lo Celso,ar ARG,"MF,FW",29-030,14.5,87,5.98,61,19,3,0,4,0,8,0.55,5,1,2,0,0,0,Matches,Real Betis,2024
124,Ricardo Rodríguez,ch SUI,DF,32-257,12.3,25,2.03,21,1,0,2,0,1,1,0.08,1,0,0,0,0,0,Matches,Real Betis,2024
125,Antony,br BRA,FW,25-074,12.2,65,5.31,50,4,4,4,3,0,9,0.74,6,0,1,2,0,0,Matches,Real Betis,2024
126,Jesus Rodríguez,es ESP,FW,19-169,10.8,34,3.14,17,0,8,2,7,0,5,0.46,3,0,0,1,1,0,Matches,Real Betis,2024
127,Marc Roca,es ESP,MF,28-164,10.1,24,2.38,19,1,2,1,0,1,1,0.1,1,0,0,0,0,0,Matches,Real Betis,2024
128,Cucho,co COL,FW,26-019,9.7,35,3.63,25,0,3,3,3,1,5,0.52,3,0,0,0,2,0,Matches,Real Betis,2024
129,Aitor Ruibal,es ESP,"DF,FW",29-048,11.0,33,3.01,28,2,1,1,1,0,4,0.36,4,0,0,0,0,0,Matches,Real Betis,2024
130,Ezequiel Ávila,ar ARG,FW,31-092,7.5,31,4.12,24,0,1,2,4,0,3,0.4,3,0,0,0,0,0,Matches,Real Betis,2024
131,Héctor Bellerín,es ESP,DF,30-051,6.4,12,1.86,11,0,1,0,0,0,2,0.31,2,0,0,0,0,0,Matches,Real Betis,2024
132,Cédric Bakambu,cd COD,FW,34-028,6.9,11,1.59,9,0,0,1,1,0,3,0.43,2,0,0,0,1,0,Matches,Real Betis,2024
133,William Carvalho,pt POR,MF,33-032,4.3,11,2.56,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
134,Fran Vieites,es ESP,GK,26-002,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
135,Ángel Ortíz,es ESP,DF,20-288,3.8,6,1.57,5,0,0,0,1,0,2,0.52,2,0,0,0,0,0,Matches,Real Betis,2024
136,Iker Losada,es ESP,"MF,FW",23-281,3.7,8,2.14,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
137,Assane Diao,sn SEN,FW,19-244,3.1,7,2.28,6,0,0,1,0,0,2,0.65,2,0,0,0,0,0,Matches,Real Betis,2024
138,Juanmi,es ESP,"FW,MF",31-354,2.7,5,1.84,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
139,Nabil Fekir,fr FRA,MF,31-295,2.0,12,6.0,9,2,0,0,0,1,1,0.5,0,1,0,0,0,0,Matches,Real Betis,2024
140,Carlos Guirao,es ESP,MF,22-012,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
141,Mateo Flores,es ESP,MF,21-032,1.7,2,1.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
142,Rodri,es ESP,FW,24-358,1.3,11,8.39,7,2,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
143,Sergio Arribas,es ESP,DF,22-088,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
144,Pablo Garcia,es ESP,FW,18-267,0.3,2,6.67,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Betis,2024
145,Sergi Cardona,es ESP,DF,25-305,30.7,75,2.44,67,3,1,4,0,0,11,0.36,11,0,0,0,0,0,Matches,Villarreal,2024
146,Santi Comesaña,es ESP,MF,28-216,26.1,72,2.76,64,1,1,2,0,4,9,0.34,7,0,0,1,0,1,Matches,Villarreal,2024
147,Kiko Femenía,es ESP,DF,34-096,24.7,43,1.74,35,3,2,0,0,3,5,0.2,5,0,0,0,0,0,Matches,Villarreal,2024
148,Alex Baena,es ESP,MF,23-293,25.2,152,6.03,98,38,3,8,4,1,18,0.71,15,2,0,0,1,0,Matches,Villarreal,2024
149,Logan Costa,cv CPV,DF,24-038,24.7,18,0.72,16,0,0,1,1,0,1,0.04,0,0,0,0,1,0,Matches,Villarreal,2024
150,Thierno Barry,fr FRA,FW,22-200,24.3,43,1.77,30,0,2,6,3,2,4,0.16,4,0,0,0,0,0,Matches,Villarreal,2024
151,Daniel Parejo,es ESP,MF,36-023,23.2,73,3.14,59,11,0,2,1,0,12,0.52,10,1,0,1,0,0,Matches,Villarreal,2024
152,Pape Gueye,sn SEN,MF,26-105,22.0,44,2.0,36,2,0,3,1,2,7,0.32,5,1,0,1,0,0,Matches,Villarreal,2024
153,Diego Conde,es ESP,GK,26-193,20.8,3,0.14,1,2,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,Villarreal,2024
154,Yeremi Pino,es ESP,MF,22-201,18.5,57,3.09,44,0,5,4,3,1,9,0.49,6,0,0,2,1,0,Matches,Villarreal,2024
155,Ayoze Pérez,es ESP,FW,31-284,19.6,65,3.28,46,0,8,6,4,1,5,0.25,2,0,2,1,0,0,Matches,Villarreal,2024
156,Juan Foyth,ar ARG,DF,27-117,13.9,18,1.3,17,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Villarreal,2024
157,Raúl Albiol,es ESP,DF,39-247,13.2,5,0.38,4,0,0,1,0,0,3,0.23,3,0,0,0,0,0,Matches,Villarreal,2024
158,Luiz Lúcio Reis Júnior,br BRA,GK,24-115,13.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Villarreal,2024
159,Nicolas Pépé,ci CIV,"FW,MF",29-345,13.6,51,3.74,34,8,4,2,3,0,6,0.44,6,0,0,0,0,0,Matches,Villarreal,2024
160,Willy Kambwala,fr FRA,DF,20-257,10.4,5,0.48,3,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches,Villarreal,2024
161,Eric Bailly,ci CIV,DF,31-027,6.9,2,0.29,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Villarreal,2024
162,Ilias Akhomach,ma MAR,"MF,FW",21-023,6.5,29,4.38,17,0,5,1,6,0,1,0.15,0,0,0,0,1,0,Matches,Villarreal,2024
163,Gerard Moreno,es ESP,FW,33-032,7.2,37,5.14,29,0,2,3,2,1,4,0.56,2,0,0,1,1,0,Matches,Villarreal,2024
164,Denis Suárez,es ESP,MF,31-123,5.9,25,4.26,17,6,0,2,0,0,2,0.34,2,0,0,0,0,0,Matches,Villarreal,2024
165,Pau Navarro,es ESP,DF,20-014,7.2,4,0.56,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Villarreal,2024
166,Tajon Buchanan,ca CAN,MF,26-090,3.3,12,3.61,8,1,1,1,1,0,1,0.3,1,0,0,0,0,0,Matches,Villarreal,2024
167,Arnaut Danjuma,nl NED,FW,28-098,2.2,2,0.9,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Villarreal,2024
168,Alfonso Pedraza,es ESP,"DF,MF",29-030,3.1,11,3.54,9,0,1,1,0,0,1,0.32,1,0,0,0,0,0,Matches,Villarreal,2024
169,Juan Bernat,es ESP,"DF,MF",32-069,2.4,8,3.4,7,0,0,1,0,0,1,0.42,1,0,0,0,0,0,Matches,Villarreal,2024
