,Player,Nation,Pos,Age,90s,standard_Gls,standard_Sh,standard_SoT,standard_SoT%,standard_Sh/90,standard_SoT/90,standard_G/Sh,standard_G/SoT,standard_Dist,standard_FK,standard_PK,standard_PKatt,expected_xG,expected_npxG,expected_npxG/Sh,expected_G-xG,expected_np:G-xG,Matches,Team,Season
284,Álex Remiro,es ESP,GK,30-046,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Real Sociedad,2024
285,Martín Zubimendi,es ESP,MF,26-096,29.9,2,18,6,33.3,0.6,0.2,0.11,0.33,15.5,0,0,0,1.9,1.9,0.11,0.1,0.1,Matches,Real Sociedad,2024
286,Sergio Gómez,es ESP,"MF,DF",24-247,28.2,2,17,9,52.9,0.6,0.32,0.12,0.22,24.6,5,0,0,1.5,1.5,0.09,0.5,0.5,Matches,Real Sociedad,2024
287,Jon Aramburu,ve VEN,DF,22-290,24.7,1,11,3,27.3,0.45,0.12,0.09,0.33,20.8,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches,Real Sociedad,2024
288,Igor Zubeldia,es ESP,DF,28-040,22.7,0,10,4,40.0,0.44,0.18,0.0,0.0,19.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,Real Sociedad,2024
289,Mikel Oyarzabal,es ESP,"FW,MF",28-018,22.3,8,33,11,33.3,1.48,0.49,0.15,0.45,14.1,0,3,3,7.7,5.3,0.16,0.3,-0.3,Matches,Real Sociedad,2024
290,Takefusa Kubo,jp JPN,"MF,FW",23-339,22.9,5,40,12,30.0,1.75,0.53,0.13,0.42,15.9,0,0,0,3.5,3.5,0.09,1.5,1.5,Matches,Real Sociedad,2024
291,Nayef Aguerd,ma MAR,DF,29-040,19.6,0,15,5,33.3,0.77,0.26,0.0,0.0,11.5,0,0,0,2.4,2.4,0.16,-2.4,-2.4,Matches,Real Sociedad,2024
292,Javi López,es ESP,DF,23-045,19.5,0,5,1,20.0,0.26,0.05,0.0,0.0,22.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Real Sociedad,2024
293,Luka Sučić,hr CRO,MF,22-243,17.8,1,39,11,28.2,2.19,0.62,0.03,0.09,23.3,1,0,0,3.1,3.1,0.08,-2.1,-2.1,Matches,Real Sociedad,2024
294,Brais Méndez,es ESP,MF,28-122,15.5,3,26,9,34.6,1.68,0.58,0.12,0.33,17.5,4,0,0,3.5,3.5,0.13,-0.5,-0.5,Matches,Real Sociedad,2024
295,Aritz Elustondo,es ESP,DF,31-042,13.2,0,4,0,0.0,0.3,0.0,0.0,,8.2,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches,Real Sociedad,2024
296,Ander Barrenetxea,es ESP,"MF,FW",23-133,12.3,1,22,7,31.8,1.8,0.57,0.05,0.14,15.2,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches,Real Sociedad,2024
297,Sheraldo Becker,sr SUR,"FW,MF",30-089,11.1,2,22,13,59.1,1.99,1.18,0.09,0.15,19.1,0,0,0,2.0,2.0,0.09,0.0,0.0,Matches,Real Sociedad,2024
298,Aihen Muñoz,es ESP,DF,27-266,10.3,0,5,0,0.0,0.48,0.0,0.0,,32.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Real Sociedad,2024
299,Pablo Marín,es ESP,MF,21-310,10.6,0,13,4,30.8,1.23,0.38,0.0,0.0,22.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,Real Sociedad,2024
300,Beñat Turrientes,es ESP,MF,23-098,9.1,0,5,1,20.0,0.55,0.11,0.0,0.0,19.5,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,Real Sociedad,2024
301,Orri Steinn Óskarsson,is ISL,FW,20-253,10.5,3,19,7,36.8,1.81,0.67,0.16,0.43,13.1,0,0,0,5.2,5.2,0.27,-2.2,-2.2,Matches,Real Sociedad,2024
302,Jon Pacheco,es ESP,DF,24-121,8.5,0,1,0,0.0,0.12,0.0,0.0,,8.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,Real Sociedad,2024
303,Olasagasti,es ESP,MF,24-266,8.8,1,12,2,16.7,1.36,0.23,0.08,0.5,19.2,0,0,0,0.9,0.9,0.07,0.1,0.1,Matches,Real Sociedad,2024
304,Hamari Traoré,ml MLI,DF,33-102,6.4,0,1,0,0.0,0.16,0.0,0.0,,14.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Real Sociedad,2024
305,Jon Martin,es ESP,DF,19-128,8.0,0,9,1,11.1,1.12,0.12,0.0,0.0,10.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,Real Sociedad,2024
306,Umar Sadiq,ng NGA,FW,28-096,2.5,0,5,0,0.0,1.98,0.0,0.0,,18.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Real Sociedad,2024
307,Unai Marrero,es ESP,GK,23-212,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Real Sociedad,2024
308,Arsen Zakharyan,ru RUS,"MF,FW",21-348,0.8,1,4,2,50.0,4.93,2.47,0.25,0.5,22.7,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches,Real Sociedad,2024
309,Urko González,es ESP,MF,24-050,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Real Sociedad,2024
