,Player,Nation,Pos,Age,90s,standard_Gls,standard_Sh,standard_SoT,standard_SoT%,standard_Sh/90,standard_SoT/90,standard_G/Sh,standard_G/SoT,standard_Dist,standard_FK,standard_PK,standard_PKatt,expected_xG,expected_npxG,expected_npxG/Sh,expected_G-xG,expected_np:G-xG,Matches,Team,Season
492,Hugo Novoa,es ESP,"DF,MF",22-128,2.6,0,1,0,0.0,0.38,0.0,0.0,,9.7,0,0,0,0.5,0.5,0.49,-0.5,-0.5,Matches,Alaves,2024
493,Luka Romero,ar ARG,"FW,MF",20-172,2.2,0,1,0,0.0,0.45,0.0,0.0,,38.7,0,0,1,0.8,0.0,0.02,-0.8,0.0,Matches,Alaves,2024
494,Pau Cabanes,es ESP,"MF,FW",20-081,2.0,0,2,1,50.0,0.98,0.49,0.0,0.0,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Alaves,2024
495,Adrian Rodriguez,es ESP,GK,24-148,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves,2024
496,Luis Rioja,es ESP,FW,31-205,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves,2024
497,Alberto Moleiro,es ESP,"FW,MF",21-221,27.4,6,62,23,37.1,2.27,0.84,0.1,0.26,18.7,0,0,0,5.4,5.4,0.09,0.6,0.6,Matches,Las Palmas,2024
498,Álex Suárez,es ESP,DF,32-052,25.8,0,5,3,60.0,0.19,0.12,0.0,0.0,11.3,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches,Las Palmas,2024
499,Javier Muñoz,es ESP,"MF,DF",30-070,27.8,1,24,6,25.0,0.86,0.22,0.04,0.17,21.4,0,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches,Las Palmas,2024
500,Jasper Cillessen,nl NED,GK,36-017,25.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Las Palmas,2024
501,Scott McKenna,sct SCO,DF,28-178,25.4,0,6,0,0.0,0.24,0.0,0.0,,11.2,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches,Las Palmas,2024
502,Mika Mármol,es ESP,DF,23-312,23.7,0,10,0,0.0,0.42,0.0,0.0,,15.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,Las Palmas,2024
503,Sandro Ramírez,es ESP,"FW,MF",29-304,21.4,9,46,20,43.5,2.15,0.94,0.17,0.4,24.0,13,1,1,4.0,3.2,0.07,5.0,4.8,Matches,Las Palmas,2024
504,Fábio Silva,pt POR,FW,22-294,20.7,10,46,20,43.5,2.22,0.96,0.17,0.4,14.8,0,2,3,8.8,6.4,0.14,1.2,1.6,Matches,Las Palmas,2024
505,Dario Essugo,pt POR,MF,20-056,18.9,1,21,4,19.0,1.11,0.21,0.05,0.25,24.8,0,0,0,0.6,0.6,0.03,0.4,0.4,Matches,Las Palmas,2024
506,Kirian Rodríguez,es ESP,MF,29-065,19.5,0,21,8,38.1,1.08,0.41,0.0,0.0,21.8,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches,Las Palmas,2024
507,Viti,es ESP,DF,27-235,19.5,0,3,2,66.7,0.15,0.1,0.0,0.0,25.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Las Palmas,2024
508,Oliver McBurnie,sct SCO,FW,28-339,17.4,3,27,10,37.0,1.55,0.57,0.11,0.3,12.1,0,0,0,4.4,4.4,0.16,-1.4,-1.4,Matches,Las Palmas,2024
509,Álex Muñoz,es ESP,DF,30-283,15.2,3,9,5,55.6,0.59,0.33,0.33,0.6,14.5,0,0,0,0.9,0.9,0.1,2.1,2.1,Matches,Las Palmas,2024
510,José Campaña,es ESP,MF,31-343,12.2,0,4,2,50.0,0.33,0.16,0.0,0.0,39.9,2,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Las Palmas,2024
511,Juan Herzog,es ESP,DF,21-361,10.7,0,7,0,0.0,0.65,0.0,0.0,,9.6,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,Las Palmas,2024
512,Stefan Bajcetic,es ESP,"MF,DF",20-199,9.3,1,4,2,50.0,0.43,0.21,0.25,0.5,21.6,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches,Las Palmas,2024
513,Marvin,es ESP,"DF,FW",24-310,9.1,0,4,0,0.0,0.44,0.0,0.0,,14.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,Las Palmas,2024
514,Dinko Horkaš,hr CRO,GK,26-060,8.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Las Palmas,2024
515,Manuel Fuster,es ESP,"FW,MF",27-199,8.8,2,17,6,35.3,1.93,0.68,0.12,0.33,22.8,0,0,0,0.7,0.7,0.04,1.3,1.3,Matches,Las Palmas,2024
516,Enzo Loiodice,fr FRA,MF,24-163,5.6,0,4,2,50.0,0.71,0.36,0.0,0.0,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Las Palmas,2024
517,Jaime Mata,es ESP,FW,36-197,5.9,0,15,5,33.3,2.56,0.85,0.0,0.0,11.4,0,0,0,2.5,2.5,0.16,-2.5,-2.5,Matches,Las Palmas,2024
518,Adnan Januzaj,be BEL,"MF,FW",30-093,4.5,2,12,3,25.0,2.67,0.67,0.17,0.67,23.2,4,0,0,0.6,0.6,0.05,1.4,1.4,Matches,Las Palmas,2024
519,Andy Pelmard,fr FRA,DF,25-058,2.3,0,1,0,0.0,0.44,0.0,0.0,,28.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Las Palmas,2024
520,Benito Ramírez,es ESP,"DF,MF",29-302,4.3,0,7,1,14.3,1.62,0.23,0.0,0.0,21.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Las Palmas,2024
521,Daley Sinkgraven,nl NED,DF,29-309,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Las Palmas,2024
522,Marc Cardona,es ESP,"FW,DF",29-305,1.2,0,4,0,0.0,3.24,0.0,0.0,,15.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,Las Palmas,2024
523,Fabio González,es ESP,MF,28-086,0.6,0,2,0,0.0,3.4,0.0,0.0,,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Las Palmas,2024
524,Pejiño,es ESP,FW,28-284,0.2,0,1,0,0.0,5.63,0.0,0.0,,24.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Las Palmas,2024
525,Valentín Pezzolesi,es ESP,DF,18-023,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Las Palmas,2024
526,Aboubacar Bassinga,ci CIV,MF,19-300,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Las Palmas,2024
527,Sergi,es ESP,DF,33-019,31.4,2,13,5,38.5,0.41,0.16,0.15,0.4,10.0,0,0,0,1.5,1.5,0.11,0.5,0.5,Matches,Leganes,2024
528,Marko Dmitrović,rs SRB,GK,33-105,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Leganes,2024
529,Seydouba Cissé,gn GUI,MF,24-088,23.2,2,15,3,20.0,0.65,0.13,0.13,0.67,22.3,0,0,0,1.4,1.4,0.1,0.6,0.6,Matches,Leganes,2024
530,Valentin Rosier,fr FRA,DF,28-263,27.1,1,14,4,28.6,0.52,0.15,0.07,0.25,18.7,0,0,0,0.9,0.9,0.06,0.1,0.1,Matches,Leganes,2024
531,Yvan Neyou,cm CMR,MF,28-126,24.1,1,14,2,14.3,0.58,0.08,0.07,0.5,25.2,0,0,0,0.6,0.6,0.04,0.4,0.4,Matches,Leganes,2024
532,Javi Hernández,es ESP,DF,27-007,23.5,1,13,3,23.1,0.55,0.13,0.08,0.33,19.5,1,0,0,0.6,0.6,0.05,0.4,0.4,Matches,Leganes,2024
533,Renato Tapia,pe PER,"MF,DF",29-285,23.2,1,9,5,55.6,0.39,0.22,0.11,0.2,25.7,0,0,0,0.5,0.5,0.06,0.5,0.5,Matches,Leganes,2024
534,Juan Cruz,es ESP,"FW,MF",25-014,23.1,4,30,12,40.0,1.3,0.52,0.13,0.33,21.5,1,0,0,1.7,1.7,0.06,2.3,2.3,Matches,Leganes,2024
535,Matija Nastasić,rs SRB,DF,32-042,22.6,1,2,1,50.0,0.09,0.04,0.5,1.0,11.7,0,0,0,0.1,0.1,0.03,0.9,0.9,Matches,Leganes,2024
536,Dani Raba,es ESP,"FW,MF",29-192,18.1,7,26,8,30.8,1.44,0.44,0.12,0.38,26.7,3,4,5,6.8,2.9,0.11,0.2,0.1,Matches,Leganes,2024
537,Miguel,es ESP,FW,25-248,18.6,1,33,14,42.4,1.77,0.75,0.0,0.0,15.5,0,1,2,4.9,3.3,0.1,-3.9,-3.3,Matches,Leganes,2024
538,Darko Brašanac,rs SRB,MF,33-086,17.3,1,12,3,25.0,0.69,0.17,0.08,0.33,13.1,0,0,0,1.8,1.8,0.15,-0.8,-0.8,Matches,Leganes,2024
539,Jorge Sáenz,es ESP,DF,28-173,14.8,1,4,1,25.0,0.27,0.07,0.25,1.0,10.7,0,0,0,0.6,0.6,0.15,0.4,0.4,Matches,Leganes,2024
540,Adrià Altimira,es ESP,"DF,FW",24-042,14.1,0,6,2,33.3,0.43,0.14,0.0,0.0,22.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Leganes,2024
541,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",26-315,13.9,1,30,6,20.0,2.16,0.43,0.03,0.17,25.7,9,0,0,1.9,1.9,0.06,-0.9,-0.9,Matches,Leganes,2024
542,Diego,es ESP,"FW,MF",25-021,10.3,3,23,8,34.8,2.23,0.77,0.13,0.38,12.8,0,0,0,3.5,3.5,0.15,-0.5,-0.5,Matches,Leganes,2024
543,Munir El Haddadi,ma MAR,"FW,MF",29-250,7.4,4,14,6,42.9,1.89,0.81,0.29,0.67,19.3,2,0,0,1.2,1.2,0.08,2.8,2.8,Matches,Leganes,2024
544,Enric Franquesa,es ESP,"DF,FW",28-072,6.8,1,3,1,33.3,0.44,0.15,0.33,1.0,16.8,0,0,0,0.3,0.3,0.1,0.7,0.7,Matches,Leganes,2024
545,Juan Soriano,es ESP,GK,27-259,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Leganes,2024
546,Sébastien Haller,ci CIV,FW,30-321,4.5,0,4,1,25.0,0.89,0.22,0.0,0.0,14.1,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches,Leganes,2024
547,Roberto López,es ESP,MF,25-015,4.4,0,6,1,16.7,1.36,0.23,0.0,0.0,27.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,Leganes,2024
548,Yan Diomandé,ci CIV,"FW,MF",18-176,2.6,0,5,1,20.0,1.94,0.39,0.0,0.0,20.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,Leganes,2024
549,Julián Chicco,ar ARG,"MF,DF",27-116,3.3,0,3,1,33.3,0.92,0.31,0.0,0.0,19.7,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches,Leganes,2024
550,Aritz Arambarri,es ESP,DF,27-098,2.0,0,1,0,0.0,0.51,0.0,0.0,,15.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Leganes,2024
551,Duk,cv CPV,"MF,FW",25-082,1.6,0,2,1,50.0,1.23,0.62,0.0,0.0,30.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Leganes,2024
552,Borna Barišić,hr CRO,DF,32-180,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Leganes,2024
553,Karl Jakob Hein,ee EST,GK,23-026,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valladolid,2024
554,Luis Pérez,es ESP,DF,30-094,26.9,0,4,2,50.0,0.15,0.07,0.0,0.0,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Valladolid,2024
555,Javi Sánchez,es ESP,DF,28-056,22.5,2,11,5,45.5,0.49,0.22,0.18,0.4,23.5,5,0,0,0.5,0.5,0.04,1.5,1.5,Matches,Valladolid,2024
556,Raúl Moro,es ESP,"MF,FW",22-155,22.2,4,40,15,37.5,1.8,0.68,0.1,0.27,18.2,0,0,0,3.5,3.5,0.09,0.5,0.5,Matches,Valladolid,2024
557,Lucas Oliveira Rosa,br BRA,DF,25-036,21.0,0,8,3,37.5,0.38,0.14,0.0,0.0,18.3,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches,Valladolid,2024
558,Stanko Jurić,hr CRO,MF,28-266,19.2,0,8,2,25.0,0.42,0.1,0.0,0.0,15.0,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches,Valladolid,2024
559,Mario Martín,es ESP,MF,21-065,17.9,0,25,11,44.0,1.39,0.61,0.0,0.0,22.1,0,0,0,1.3,1.3,0.05,-1.3,-1.3,Matches,Valladolid,2024
560,Eray Cömert,ch SUI,"DF,MF",27-094,16.9,0,8,0,0.0,0.47,0.0,0.0,,23.7,1,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,Valladolid,2024
561,Anuar,ma MAR,"MF,FW",30-114,16.6,2,9,4,44.4,0.54,0.24,0.22,0.5,13.6,0,0,0,1.5,1.5,0.16,0.5,0.5,Matches,Valladolid,2024
562,Mamadou Sylla,sn SEN,"FW,MF",31-050,16.5,5,18,3,16.7,1.09,0.18,0.06,0.33,17.4,0,4,4,5.1,2.0,0.11,-0.1,-1.0,Matches,Valladolid,2024
563,Selim Amallah,ma MAR,MF,28-175,14.0,3,18,6,33.3,1.29,0.43,0.11,0.33,23.4,1,1,1,2.7,1.9,0.11,0.3,0.1,Matches,Valladolid,2024
564,David Torres,es ESP,DF,22-065,15.4,0,3,1,33.3,0.19,0.06,0.0,0.0,10.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,Valladolid,2024
565,Kike Pérez,es ESP,MF,28-084,13.2,2,20,4,20.0,1.51,0.3,0.1,0.5,21.1,1,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches,Valladolid,2024
566,Marcos André,br BRA,FW,28-201,13.1,1,22,2,9.1,1.68,0.15,0.05,0.5,14.0,0,0,0,2.7,2.7,0.12,-1.7,-1.7,Matches,Valladolid,2024
567,Iván Sánchez,es ESP,"MF,FW",32-228,14.0,2,13,5,38.5,0.93,0.36,0.15,0.4,20.3,1,0,0,0.6,0.6,0.05,1.4,1.4,Matches,Valladolid,2024
568,Juanmi Latasa,es ESP,FW,24-047,12.0,3,34,9,26.5,2.83,0.75,0.09,0.33,11.7,0,0,0,3.6,3.6,0.11,-0.6,-0.6,Matches,Valladolid,2024
569,Juma Bah,sl SLE,DF,19-028,9.6,0,3,1,33.3,0.31,0.1,0.0,0.0,9.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,Valladolid,2024
570,Antonio Candela,it ITA,DF,25-012,8.0,0,1,0,0.0,0.13,0.0,0.0,,16.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Valladolid,2024
571,Adam Aznou,ma MAR,DF,18-341,7.5,0,1,0,0.0,0.13,0.0,0.0,,14.6,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches,Valladolid,2024
572,Chuky san jose,es ESP,MF,21-010,7.2,1,11,4,36.4,1.53,0.55,0.09,0.25,21.2,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches,Valladolid,2024
573,Darwin Machís,ve VEN,"MF,FW",32-091,6.9,0,13,2,15.4,1.88,0.29,0.0,0.0,21.9,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,Valladolid,2024
574,Tamás Nikitscher,hu HUN,MF,25-187,6.3,0,1,1,100.0,0.16,0.16,0.0,0.0,30.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Valladolid,2024
575,Florian Grillitsch,at AUT,MF,29-275,5.3,0,3,2,66.7,0.56,0.37,0.0,0.0,22.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Valladolid,2024
576,Joseph Aidoo,gh GHA,DF,29-222,6.0,0,1,0,0.0,0.17,0.0,0.0,,10.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Valladolid,2024
577,André Ferreira,pt POR,GK,28-345,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valladolid,2024
578,Cenk Özkacar,tr TUR,DF,24-215,4.9,0,2,0,0.0,0.41,0.0,0.0,,13.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Valladolid,2024
579,Amath,sn SEN,"FW,DF",28-297,3.9,0,5,1,20.0,1.28,0.26,0.0,0.0,13.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,Valladolid,2024
580,Enzo Boyomo,cm CMR,DF,23-214,3.0,0,2,0,0.0,0.67,0.0,0.0,,11.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Valladolid,2024
581,Víctor Meseguer,es ESP,MF,25-334,4.6,0,6,0,0.0,1.29,0.0,0.0,,19.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,Valladolid,2024
582,Henrique,br BRA,DF,31-014,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valladolid,2024
583,Raúl Chasco,es ESP,DF,21-238,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valladolid,2024
584,Arnau Rafús,es ESP,GK,22-012,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valladolid,2024
585,Mario Maroto,es ESP,MF,21-162,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valladolid,2024
586,Adrian Baquerin,es ESP,FW,18-066,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valladolid,2024
587,Kenedy,br BRA,"MF,FW",29-090,0.1,0,1,0,0.0,10.0,0.0,0.0,,7.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Valladolid,2024
