,Player,Nation,Pos,Age,MP,playing_time_Min,playing_time_Mn/MP,playing_time_Min%,playing_time_90s,starts_Starts,starts_Mn/Start,starts_Compl,subs_Subs,subs_Mn/Sub,subs_unSub,team_success_PPM,team_success_onG,team_success_onGA,team_success_+/-,team_success_+/-90,team_success_On-Off,team_success_(xg)_onxG,team_success_(xg)_onxGA,team_success_(xg)_xG+/-,team_success_(xg)_xG+/-90,team_success_(xg)_On-Off,Matches,Team,Season,playing_time_MP
486,Fernando Calero,es ESP,"DF,MF",29-237,,481.0,28.0,15.7,5.3,3,88.0,1,14,15.0,10,1.76,6.0,7.0,-1.0,-0.19,0.06,5.7,9.2,-3.5,-0.65,-0.05,Matches,Espanyol,2024,17.0
487,Justin Smith,ca CAN,MF,22-094,,209.0,42.0,6.8,2.3,3,58.0,0,2,17.0,3,1.0,4.0,2.0,2.0,0.86,1.18,3.6,2.4,1.2,0.52,1.22,Matches,Espanyol,2024,5.0
488,Rafael Bauza,es ESP,MF,20-099,,183.0,37.0,6.0,2.0,2,62.0,0,3,20.0,12,0.8,2.0,9.0,-7.0,-3.44,-3.41,0.8,7.1,-6.4,-3.14,-2.69,Matches,Espanyol,2024,5.0
489,Pere Milla,es ESP,"MF,FW",32-228,,316.0,20.0,10.3,3.5,1,56.0,0,15,17.0,17,1.19,2.0,5.0,-3.0,-0.85,-0.69,2.6,5.0,-2.4,-0.69,-0.09,Matches,Espanyol,2024,16.0
490,Naci Ünüvar,nl NED,"MF,DF",21-330,,31.0,16.0,1.0,0.3,0,,0,2,16.0,10,0.0,0.0,0.0,0.0,0.0,0.24,0.3,0.2,0.0,0.09,0.71,Matches,Espanyol,2024,2.0
491,Roger Hinojo,es ESP,DF,20-077,,9.0,9.0,0.3,0.1,0,,0,1,9.0,7,0.0,0.0,0.0,0.0,0.0,0.24,0.2,0.4,-0.1,-1.46,-0.85,Matches,Espanyol,2024,1.0
492,Alex Almansa,es ESP,FW,21-182,,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,Espanyol,2024,0.0
493,Català,es ESP,DF,20-266,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Espanyol,2024,0.0
494,Fortuño,es ESP,GK,23-216,,,,,,0,,0,0,,34,,,,,,,,,,,,Matches,Espanyol,2024,0.0
495,José López,es ESP,DF,19-128,,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Espanyol,2024,0.0
496,Fernando Pacheco,es ESP,GK,32-356,,,,,,0,,0,0,,26,,,,,,,,,,,,Matches,Espanyol,2024,0.0
497,Pablo Ramon,es ESP,DF,23-313,,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Espanyol,2024,0.0
498,Omar Sadik,ma MAR,FW,21-048,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Espanyol,2024,0.0
499,Salvi,es ESP,MF,34-040,,,,,,0,,0,0,,11,,,,,,,,,,,,Matches,Espanyol,2024,0.0
500,Llorenç Serred,es ESP,GK,19-247,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Espanyol,2024,0.0
501,Pol Tristán,es ESP,GK,23-052,,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,Espanyol,2024,0.0
502,Paulo Gazzaniga,ar ARG,GK,33-127,34.0,3015.0,89.0,98.5,33.5,34,89.0,33,0,,0,1.12,40.0,50.0,-10.0,-0.3,1.7,37.7,40.7,-3.0,-0.09,2.25,Matches,Girona,2024,
