,Player,Nation,Pos,Age,MP,playing_time_Min,playing_time_Mn/MP,playing_time_Min%,playing_time_90s,starts_Starts,starts_Mn/Start,starts_Compl,subs_Subs,subs_Mn/Sub,subs_unSub,team_success_PPM,team_success_onG,team_success_onGA,team_success_+/-,team_success_+/-90,team_success_On-Off,team_success_(xg)_onxG,team_success_(xg)_onxGA,team_success_(xg)_xG+/-,team_success_(xg)_xG+/-90,team_success_(xg)_On-Off,Matches,Team,Season,playing_time_MP
667,Renato Tapia,pe PER,"MF,DF",29-285,30.0,2092.0,70.0,68.4,23.2,24,81.0,14,6,26.0,0,0.87,25.0,42.0,-17.0,-0.73,-0.55,20.0,40.1,-20.0,-0.86,-0.32,Matches,Leganes,2024,
668,Juan Cruz,es ESP,"FW,MF",25-014,32.0,2080.0,65.0,68.0,23.1,24,77.0,9,8,28.0,2,0.84,23.0,36.0,-13.0,-0.56,-0.01,20.7,37.8,-17.1,-0.74,0.07,Matches,Leganes,2024,
669,Matija Nastasić,rs SRB,DF,32-042,25.0,2033.0,81.0,66.4,22.6,23,85.0,20,2,39.0,1,0.88,24.0,41.0,-17.0,-0.75,-0.58,21.3,40.2,-18.9,-0.84,-0.22,Matches,Leganes,2024,
670,Dani Raba,es ESP,"FW,MF",29-192,25.0,1625.0,65.0,53.1,18.1,20,76.0,6,5,20.0,5,0.96,18.0,24.0,-6.0,-0.33,0.48,17.5,29.5,-12.0,-0.66,0.2,Matches,Leganes,2024,
671,Miguel,es ESP,FW,25-248,30.0,1675.0,56.0,54.7,18.6,17,80.0,5,13,24.0,3,0.97,18.0,24.0,-6.0,-0.32,0.52,17.7,28.9,-11.2,-0.6,0.35,Matches,Leganes,2024,
672,Darko Brašanac,rs SRB,MF,33-086,27.0,1561.0,58.0,51.0,17.3,15,80.0,5,12,31.0,5,1.07,18.0,28.0,-10.0,-0.58,-0.04,16.0,30.1,-14.1,-0.81,-0.1,Matches,Leganes,2024,
673,Jorge Sáenz,es ESP,DF,28-173,19.0,1330.0,70.0,43.5,14.8,15,81.0,10,4,30.0,12,1.0,7.0,14.0,-7.0,-0.47,0.15,9.3,20.6,-11.3,-0.76,-0.01,Matches,Leganes,2024,
674,Adrià Altimira,es ESP,"DF,FW",24-042,18.0,1270.0,71.0,41.5,14.1,15,76.0,7,3,43.0,14,0.94,10.0,21.0,-11.0,-0.78,-0.38,9.5,21.9,-12.4,-0.88,-0.2,Matches,Leganes,2024,
675,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",26-315,26.0,1248.0,48.0,40.8,13.9,12,75.0,5,14,25.0,4,0.85,15.0,19.0,-4.0,-0.29,0.46,13.2,21.2,-8.0,-0.57,0.31,Matches,Leganes,2024,
676,Diego,es ESP,"FW,MF",25-021,24.0,930.0,39.0,30.4,10.3,10,76.0,3,14,12.0,6,0.96,11.0,19.0,-8.0,-0.77,-0.31,10.8,18.1,-7.2,-0.7,0.09,Matches,Leganes,2024,
677,Munir El Haddadi,ma MAR,"FW,MF",29-250,21.0,665.0,32.0,21.7,7.4,7,65.0,1,14,15.0,7,0.76,10.0,8.0,2.0,0.27,1.06,7.3,12.3,-4.9,-0.67,0.12,Matches,Leganes,2024,
678,Enric Franquesa,es ESP,"DF,FW",28-072,12.0,616.0,51.0,20.1,6.8,7,76.0,4,5,17.0,1,1.08,9.0,10.0,-1.0,-0.15,0.52,5.2,10.1,-4.9,-0.71,0.06,Matches,Leganes,2024,
679,Juan Soriano,es ESP,GK,27-259,6.0,540.0,90.0,17.6,6.0,6,90.0,6,0,,26,0.86,4.0,8.0,-4.0,-0.67,-0.13,4.0,8.2,-4.2,-0.7,0.08,Matches,Leganes,2024,
680,Sébastien Haller,ci CIV,FW,30-321,8.0,404.0,51.0,13.2,4.5,5,71.0,1,3,16.0,4,0.75,2.0,9.0,-7.0,-1.56,-1.15,2.1,7.7,-5.6,-1.24,-0.55,Matches,Leganes,2024,
681,Roberto López,es ESP,MF,25-015,13.0,396.0,30.0,12.9,4.4,3,86.0,2,10,14.0,21,1.0,2.0,8.0,-6.0,-1.36,-0.92,3.5,7.7,-4.2,-0.97,-0.24,Matches,Leganes,2024,
682,Yan Diomandé,ci CIV,"FW,MF",18-176,6.0,232.0,39.0,7.6,2.6,3,64.0,1,3,13.0,0,0.67,2.0,2.0,0.0,0.0,0.6,2.5,3.5,-1.0,-0.4,0.4,Matches,Leganes,2024,
683,Julián Chicco,ar ARG,"MF,DF",27-116,13.0,294.0,23.0,9.6,3.3,2,80.0,1,11,12.0,20,1.0,4.0,8.0,-4.0,-1.22,-0.74,3.2,7.2,-4.0,-1.21,-0.5,Matches,Leganes,2024,
684,Aritz Arambarri,es ESP,DF,27-098,2.0,177.0,89.0,5.8,2.0,2,89.0,1,0,,1,2.0,3.0,2.0,1.0,0.51,1.13,2.5,2.6,-0.2,-0.08,0.72,Matches,Leganes,2024,
685,Duk,cv CPV,"MF,FW",25-082,7.0,146.0,21.0,4.8,1.6,1,65.0,0,6,14.0,5,0.43,3.0,1.0,2.0,1.23,1.88,1.6,1.8,-0.1,-0.09,0.7,Matches,Leganes,2024,
686,Borna Barišić,hr CRO,DF,32-180,1.0,9.0,9.0,0.3,0.1,1,9.0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,-0.08,0.69,Matches,Leganes,2024,
687,Álvaro Abajas,es ESP,GK,21-362,0.0,,,,,0,,0,0,,29,,,,,,,,,,,,Matches,Leganes,2024,
688,Lalo Aguilar,es ESP,DF,22-332,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Leganes,2024,
689,Iker Bachiller,es ESP,DF,22-237,0.0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches,Leganes,2024,
690,Naim García,es ESP,MF,22-332,0.0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,Leganes,2024,
691,Álex Gil,es ESP,MF,22-093,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Leganes,2024,
692,Carlos Guirao,es ESP,MF,22-012,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Leganes,2024,
693,Jackson Porozo,ec ECU,DF,24-278,0.0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches,Leganes,2024,
694,Guillermo Ruiz,es ESP,GK,21-151,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Leganes,2024,
695,João Urbáez,do DOM,DF,22-289,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Leganes,2024,
696,Karl Jakob Hein,ee EST,GK,23-026,,2520.0,90.0,82.4,28.0,28,90.0,28,0,,1,0.57,18.0,63.0,-45.0,-1.61,0.56,23.9,49.6,-25.7,-0.92,0.1,Matches,Valladolid,2024,28.0
697,Luis Pérez,es ESP,DF,30-094,,2423.0,87.0,79.2,26.9,27,89.0,26,1,33.0,4,0.57,19.0,63.0,-44.0,-1.63,0.34,24.2,46.1,-21.9,-0.81,0.59,Matches,Valladolid,2024,28.0
698,Javi Sánchez,es ESP,DF,28-056,,2026.0,81.0,66.2,22.5,25,81.0,19,0,,1,0.6,18.0,52.0,-34.0,-1.51,0.58,19.8,40.2,-20.4,-0.91,0.1,Matches,Valladolid,2024,25.0
699,Raúl Moro,es ESP,"MF,FW",22-155,,1998.0,69.0,65.3,22.2,22,80.0,12,7,34.0,0,0.55,18.0,46.0,-28.0,-1.26,1.28,22.5,37.6,-15.0,-0.68,0.75,Matches,Valladolid,2024,29.0
700,Lucas Oliveira Rosa,br BRA,DF,25-036,,1890.0,90.0,61.8,21.0,21,90.0,21,0,,0,0.57,12.0,45.0,-33.0,-1.57,0.35,16.8,38.4,-21.6,-1.03,-0.24,Matches,Valladolid,2024,21.0
701,Stanko Jurić,hr CRO,MF,28-266,,1729.0,67.0,56.5,19.2,19,79.0,7,7,32.0,6,0.58,15.0,46.0,-31.0,-1.61,0.21,17.1,36.8,-19.7,-1.03,-0.2,Matches,Valladolid,2024,26.0
702,Mario Martín,es ESP,MF,21-065,,1613.0,58.0,52.7,17.9,18,77.0,6,10,23.0,1,0.39,13.0,46.0,-33.0,-1.84,-0.29,16.0,29.6,-13.5,-0.75,0.39,Matches,Valladolid,2024,28.0
703,Eray Cömert,ch SUI,"DF,MF",27-094,,1518.0,69.0,49.6,16.9,18,82.0,11,4,13.0,6,0.55,12.0,47.0,-35.0,-2.08,-0.73,14.8,33.2,-18.4,-1.09,-0.31,Matches,Valladolid,2024,22.0
704,Anuar,ma MAR,"MF,FW",30-114,,1496.0,68.0,48.9,16.6,18,77.0,7,4,27.0,2,0.5,12.0,34.0,-22.0,-1.32,0.75,13.1,28.2,-15.0,-0.9,0.06,Matches,Valladolid,2024,22.0
705,Mamadou Sylla,sn SEN,"FW,MF",31-050,,1487.0,55.0,48.6,16.5,16,79.0,6,11,20.0,5,0.48,14.0,43.0,-29.0,-1.76,-0.1,15.7,30.9,-15.2,-0.92,0.03,Matches,Valladolid,2024,27.0
706,Selim Amallah,ma MAR,MF,28-175,,1258.0,57.0,41.1,14.0,16,68.0,2,6,29.0,6,0.41,10.0,31.0,-21.0,-1.5,0.35,11.6,22.6,-11.0,-0.79,0.26,Matches,Valladolid,2024,22.0
707,David Torres,es ESP,DF,22-065,,1387.0,77.0,45.3,15.4,15,84.0,13,3,41.0,15,0.61,11.0,37.0,-26.0,-1.69,0.03,12.3,28.8,-16.4,-1.07,-0.24,Matches,Valladolid,2024,18.0
708,Kike Pérez,es ESP,MF,28-084,,1191.0,63.0,38.9,13.2,14,75.0,2,5,27.0,1,0.79,7.0,25.0,-18.0,-1.36,0.57,11.5,21.0,-9.5,-0.72,0.36,Matches,Valladolid,2024,19.0
709,Marcos André,br BRA,FW,28-201,,1179.0,56.0,38.5,13.1,14,75.0,2,7,18.0,10,0.43,11.0,32.0,-21.0,-1.6,0.17,10.9,22.8,-11.9,-0.91,0.04,Matches,Valladolid,2024,21.0
710,Iván Sánchez,es ESP,"MF,FW",32-228,,1258.0,43.0,41.1,14.0,11,73.0,2,18,26.0,5,0.45,12.0,38.0,-26.0,-1.86,-0.26,12.6,28.4,-15.8,-1.13,-0.33,Matches,Valladolid,2024,29.0
711,Juanmi Latasa,es ESP,FW,24-047,,1082.0,45.0,35.4,12.0,10,77.0,5,14,22.0,3,0.38,9.0,35.0,-26.0,-2.16,-0.71,11.9,23.2,-11.3,-0.94,0.0,Matches,Valladolid,2024,24.0
712,Juma Bah,sl SLE,DF,19-028,,864.0,72.0,28.2,9.6,10,84.0,8,2,11.0,3,0.92,6.0,18.0,-12.0,-1.25,0.64,8.9,16.3,-7.4,-0.77,0.23,Matches,Valladolid,2024,12.0
713,Antonio Candela,it ITA,DF,25-012,,718.0,80.0,23.5,8.0,9,80.0,5,0,,3,0.11,5.0,24.0,-19.0,-2.38,-0.88,5.8,15.9,-10.1,-1.26,-0.43,Matches,Valladolid,2024,9.0
714,Adam Aznou,ma MAR,DF,18-341,,671.0,67.0,21.9,7.5,8,76.0,5,2,31.0,2,0.1,6.0,19.0,-13.0,-1.74,-0.05,7.1,11.2,-4.2,-0.56,0.49,Matches,Valladolid,2024,10.0
715,Chuky san jose,es ESP,MF,21-010,,649.0,41.0,21.2,7.2,7,65.0,1,9,21.0,13,0.25,5.0,28.0,-23.0,-3.19,-1.88,5.6,18.7,-13.2,-1.83,-1.13,Matches,Valladolid,2024,16.0
716,Darwin Machís,ve VEN,"MF,FW",32-091,,622.0,37.0,20.3,6.9,7,55.0,0,10,24.0,10,0.24,5.0,17.0,-12.0,-1.74,-0.04,5.5,13.0,-7.5,-1.08,-0.18,Matches,Valladolid,2024,17.0
717,Tamás Nikitscher,hu HUN,MF,25-187,,569.0,63.0,18.6,6.3,6,85.0,5,3,21.0,4,0.11,2.0,18.0,-16.0,-2.53,-1.01,4.0,11.8,-7.9,-1.24,-0.37,Matches,Valladolid,2024,9.0
718,Florian Grillitsch,at AUT,MF,29-275,,480.0,48.0,15.7,5.3,6,63.0,1,4,26.0,1,0.1,5.0,15.0,-10.0,-1.87,-0.2,4.9,10.7,-5.7,-1.07,-0.16,Matches,Valladolid,2024,10.0
719,Joseph Aidoo,gh GHA,DF,29-222,,538.0,77.0,17.6,6.0,5,85.0,4,2,57.0,1,0.0,6.0,22.0,-16.0,-2.68,-1.18,5.3,13.3,-8.0,-1.34,-0.48,Matches,Valladolid,2024,7.0
720,André Ferreira,pt POR,GK,28-345,,450.0,90.0,14.7,5.0,5,90.0,5,0,,24,0.0,6.0,18.0,-12.0,-2.4,-0.81,5.3,11.5,-6.2,-1.23,-0.35,Matches,Valladolid,2024,5.0
721,Cenk Özkacar,tr TUR,DF,24-215,,442.0,63.0,14.4,4.9,5,75.0,4,2,35.0,17,0.14,3.0,12.0,-9.0,-1.83,-0.15,3.8,7.8,-4.1,-0.83,0.13,Matches,Valladolid,2024,7.0
722,Amath,sn SEN,"FW,DF",28-297,,352.0,32.0,11.5,3.9,5,57.0,0,6,11.0,16,0.64,2.0,6.0,-4.0,-1.02,0.77,4.3,5.3,-0.9,-0.24,0.79,Matches,Valladolid,2024,11.0
723,Enzo Boyomo,cm CMR,DF,23-214,,270.0,90.0,8.8,3.0,3,90.0,3,0,,0,1.33,1.0,3.0,-2.0,-0.67,1.14,2.3,2.9,-0.6,-0.21,0.8,Matches,Valladolid,2024,3.0
724,Víctor Meseguer,es ESP,MF,25-334,,418.0,30.0,13.7,4.6,2,74.0,1,12,23.0,4,0.86,2.0,8.0,-6.0,-1.29,0.48,3.6,9.2,-5.6,-1.2,-0.3,Matches,Valladolid,2024,14.0
725,Henrique,br BRA,DF,31-014,,197.0,66.0,6.4,2.2,2,76.0,1,1,45.0,0,0.0,3.0,8.0,-5.0,-2.28,-0.62,2.6,6.0,-3.4,-1.58,-0.68,Matches,Valladolid,2024,3.0
726,Raúl Chasco,es ESP,DF,21-238,,130.0,65.0,4.2,1.4,1,90.0,1,1,40.0,21,1.5,4.0,4.0,0.0,0.0,1.78,2.7,2.4,0.3,0.23,1.22,Matches,Valladolid,2024,2.0
727,Arnau Rafús,es ESP,GK,22-012,,90.0,90.0,2.9,1.0,1,90.0,1,0,,9,0.0,1.0,2.0,-1.0,-1.0,0.73,0.7,0.7,0.0,0.03,1.0,Matches,Valladolid,2024,1.0
728,Mario Maroto,es ESP,MF,21-162,,19.0,19.0,0.6,0.2,0,,0,1,19.0,7,0.0,1.0,1.0,0.0,0.0,1.72,0.2,1.1,-0.8,-3.84,-2.92,Matches,Valladolid,2024,1.0
729,Adrian Baquerin,es ESP,FW,18-066,,12.0,4.0,0.4,0.1,0,,0,3,4.0,7,0.0,1.0,0.0,1.0,7.5,9.24,0.4,0.1,0.3,2.32,3.27,Matches,Valladolid,2024,3.0
730,Kenedy,br BRA,"MF,FW",29-090,,9.0,5.0,0.3,0.1,0,,0,2,5.0,7,0.0,0.0,1.0,-1.0,-10.0,-8.32,0.0,0.3,-0.3,-2.97,-2.04,Matches,Valladolid,2024,2.0
731,Álvaro Aceves,es ESP,GK,21-287,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Valladolid,2024,0.0
732,Stipe Biuk,hr CRO,MF,22-134,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Valladolid,2024,0.0
733,Jorge Gonzalez,es ESP,DF,20-054,,,,,,0,,0,0,,9,,,,,,,,,,,,Matches,Valladolid,2024,0.0
734,César de la Hoz,es ESP,MF,33-040,,,,,,0,,0,0,,8,,,,,,,,,,,,Matches,Valladolid,2024,0.0
735,Iago Parente,es ESP,DF,19-073,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Valladolid,2024,0.0
736,Adrián Rodriguez,es ESP,DF,22-279,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Valladolid,2024,0.0
