,Player,Nation,Pos,Age,90s,Att,pass_types_Live,pass_types_Dead,pass_types_FK,pass_types_TB,pass_types_Sw,pass_types_Crs,pass_types_TI,pass_types_CK,corner_kicks_In,corner_kicks_Out,corner_kicks_Str,outcomes_Cmp,outcomes_Off,outcomes_Blocks,Matches,Team,Season
98,Mikel Vesga,es ESP,MF,31-353,9.8,478,468,9,7,2,4,7,1,0,0,0,0,388,1,4,Matches,Athletic Club,2024
99,Iñigo Lekue,es ESP,DF,32-005,7.6,376,293,81,10,0,0,12,71,0,0,0,0,292,2,5,Matches,Athletic Club,2024
100,Álvaro djaló,es ESP,FW,25-266,6.7,107,102,4,0,0,4,12,1,0,0,0,0,69,1,2,Matches,Athletic Club,2024
101,Unai Núñez,es ESP,DF,28-099,6.5,310,296,14,12,0,7,0,0,0,0,0,0,271,0,0,Matches,Athletic Club,2024
102,Maroan Sannadi,es ESP,FW,24-097,5.7,109,106,3,0,1,0,2,0,0,0,0,0,79,0,4,Matches,Athletic Club,2024
103,Alex Padilla,es ESP,GK,21-250,3.6,121,79,41,19,0,0,0,0,0,0,0,0,67,1,0,Matches,Athletic Club,2024
104,Ander Herrera,es ESP,MF,35-268,3.0,200,194,6,5,0,0,1,1,0,0,0,0,181,0,0,Matches,Athletic Club,2024
105,Peio Canales,es ESP,"MF,FW",20-112,2.1,80,73,7,3,0,1,6,0,3,1,2,0,65,0,0,Matches,Athletic Club,2024
106,Nicolás Serrano,es ESP,FW,22-065,1.2,44,37,7,2,0,0,13,0,5,4,0,0,25,0,0,Matches,Athletic Club,2024
107,Javi Martón,es ESP,"FW,MF",26-003,0.6,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches,Athletic Club,2024
108,Adu Ares,es ESP,FW,23-209,0.2,9,9,0,0,0,0,1,0,0,0,0,0,5,0,1,Matches,Athletic Club,2024
109,Endika Buján,es ESP,FW,22-113,0.1,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches,Athletic Club,2024
110,Diego Llorente,es ESP,DF,31-266,28.0,1595,1533,59,53,0,11,1,5,0,0,0,0,1383,3,9,Matches,Real Betis,2024
111,Johnny Cardoso,us USA,MF,23-231,21.7,991,968,21,20,2,10,3,1,0,0,0,0,843,2,17,Matches,Real Betis,2024
112,Marc Bartra,es ESP,DF,34-114,20.5,1043,981,55,45,3,15,1,5,0,0,0,0,845,7,7,Matches,Real Betis,2024
113,Romain Perraud,fr FRA,DF,27-229,20.1,1043,816,222,30,0,5,64,192,0,0,0,0,820,5,44,Matches,Real Betis,2024
114,Abde Ezzalzouli,ma MAR,"FW,MF",23-143,19.6,669,645,22,5,2,4,43,15,1,0,0,0,475,2,25,Matches,Real Betis,2024
115,Natan,br BRA,DF,24-092,20.2,1065,1006,56,43,0,7,2,11,0,0,0,0,945,3,0,Matches,Real Betis,2024
116,Sergi Altimira,es ESP,MF,23-257,19.5,1104,1084,19,16,4,13,4,3,0,0,0,0,980,1,17,Matches,Real Betis,2024
117,Youssouf Sabaly,sn SEN,DF,32-065,17.3,980,784,196,20,2,3,30,176,0,0,0,0,849,0,19,Matches,Real Betis,2024
118,Pablo Fornals,es ESP,"MF,FW",29-076,17.1,920,870,47,15,9,8,47,9,23,7,6,0,732,3,21,Matches,Real Betis,2024
119,Adrián,es ESP,GK,38-126,15.0,478,355,121,45,0,0,0,0,0,0,0,0,360,2,3,Matches,Real Betis,2024
120,Rui Silva,pt POR,GK,31-091,15.0,524,404,118,42,0,0,0,0,0,0,0,0,412,2,0,Matches,Real Betis,2024
121,Isco,es ESP,MF,33-018,14.6,992,865,125,57,5,19,78,4,58,25,22,0,810,2,22,Matches,Real Betis,2024
122,Vitor Roque,br BRA,FW,20-070,13.7,195,163,32,0,1,0,6,1,1,0,0,0,142,0,7,Matches,Real Betis,2024
123,Giovani Lo Celso,ar ARG,"MF,FW",29-030,14.5,869,725,143,67,11,7,90,9,63,32,22,0,682,1,20,Matches,Real Betis,2024
