,Player,Nation,Pos,Age,90s,total_Cmp,total_Att,total_Cmp%,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,expected_xA,expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Team,Season
39,Brahim Díaz,ma MAR,"FW,MF",25-279,14.3,527,608,86.7,6720,1705,361,397,90.9,134,154,87.0,11,17,64.7,2,2.8,2.0,-0.8,20,51,16,0,66,Matches,Real Madrid,2024
40,Luka Modrić,hr CRO,MF,39-242,16.8,1393,1585,87.9,24536,8093,649,694,93.5,548,592,92.6,156,235,66.4,4,5.9,5.5,-1.9,54,183,26,1,161,Matches,Real Madrid,2024
41,Ferland Mendy,fr FRA,DF,29-335,11.2,630,671,93.9,9091,2431,387,399,97.0,199,212,93.9,32,38,84.2,1,0.5,0.7,0.5,3,44,1,0,36,Matches,Real Madrid,2024
42,Dani Ceballos,es ESP,MF,28-275,10.8,1034,1093,94.6,16981,4792,506,517,97.9,436,453,96.2,67,85,78.8,0,1.4,1.8,-1.4,16,129,9,0,119,Matches,Real Madrid,2024
43,Eduardo Camavinga,fr FRA,"MF,DF",22-180,12.2,700,793,88.3,11361,3012,344,367,93.7,296,319,92.8,43,66,65.2,2,0.8,0.7,1.2,11,61,5,0,61,Matches,Real Madrid,2024
44,Éder Militão,br BRA,DF,27-111,10.4,636,712,89.3,13095,4633,189,201,94.0,372,394,94.4,72,110,65.5,1,0.5,0.2,0.5,6,56,3,0,46,Matches,Real Madrid,2024
45,Arda Güler,tr TUR,"MF,FW",20-073,10.5,564,649,86.9,9252,2258,305,325,93.8,191,215,88.8,54,81,66.7,4,3.2,3.5,0.8,30,61,21,3,69,Matches,Real Madrid,2024
46,Dani Carvajal,es ESP,DF,33-118,6.8,399,463,86.2,6523,1419,197,212,92.9,170,195,87.2,26,35,74.3,0,0.2,0.3,-0.2,5,20,5,0,27,Matches,Real Madrid,2024
47,Andriy Lunin,ua UKR,GK,26-087,5.0,143,165,86.7,3544,2225,36,37,97.3,69,69,100.0,37,58,63.8,1,0.9,0.0,0.1,1,1,0,0,0,Matches,Real Madrid,2024
48,David Alaba,at AUT,DF,32-319,3.5,206,228,90.4,3522,1456,90,90,100.0,96,98,98.0,15,32,46.9,0,0.1,0.1,-0.1,1,11,1,0,7,Matches,Real Madrid,2024
49,Endrick,br BRA,FW,18-292,2.5,40,50,80.0,602,93,20,24,83.3,14,17,82.4,2,2,100.0,0,0.3,0.1,-0.3,2,1,1,0,6,Matches,Real Madrid,2024
50,Fran,es ESP,GK,19-319,1.0,19,20,95.0,386,262,7,7,100.0,8,8,100.0,4,5,80.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Real Madrid,2024
51,Jacobo Ramón,es ESP,DF,20-123,0.3,14,14,100.0,285,91,2,2,100.0,11,11,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Real Madrid,2024
52,Jesús Vallejo,es ESP,DF,28-124,0.1,12,14,85.7,221,54,1,1,100.0,11,11,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Real Madrid,2024
53,Chema,es ESP,MF,20-014,0.1,1,1,100.0,16,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Real Madrid,2024
54,Lorenzo Aguado,es ESP,DF,22-232,0.1,1,1,100.0,34,0,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Real Madrid,2024
55,Daniel Yáñez,es ESP,FW,18-042,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Real Madrid,2024
56,Jan Oblak,si SVN,GK,32-122,33.0,691,871,79.3,18493,12512,120,120,100.0,365,368,99.2,201,377,53.3,0,0.0,0.0,0.0,0,6,0,0,0,Matches,Atletico Madrid,2024
57,Antoine Griezmann,fr FRA,"FW,MF",34-049,26.0,1012,1368,74.0,16050,4431,560,653,85.8,300,421,71.3,109,186,58.6,6,6.1,5.7,-0.1,45,96,42,10,134,Matches,Atletico Madrid,2024
58,Julián Álvarez,ar ARG,FW,25-098,25.2,643,858,74.9,9499,2256,362,433,83.6,196,240,81.7,45,99,45.5,2,3.5,3.8,-1.5,33,39,29,5,77,Matches,Atletico Madrid,2024
59,Pablo Barrios,es ESP,MF,21-328,24.6,1244,1445,86.1,20024,5444,653,712,91.7,478,527,90.7,85,134,63.4,3,1.6,1.6,1.4,24,142,21,3,139,Matches,Atletico Madrid,2024
60,Marcos Llorente,es ESP,"DF,MF",30-099,23.9,1158,1359,85.2,17576,4882,639,686,93.1,404,465,86.9,72,112,64.3,4,4.2,3.0,-0.2,26,77,23,13,96,Matches,Atletico Madrid,2024
