,Player,Nation,Pos,Age,90s,total_Cmp,total_Att,total_Cmp%,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,expected_xA,expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Team,Season
246,Rubén Peña,es ESP,"FW,DF",33-295,7.6,169,286,59.1,2791,1297,88,114,77.2,65,112,58.0,14,37,37.8,0,0.5,0.7,-0.5,12,17,9,5,24,Matches,Osasuna,2024
247,Raúl,es ESP,"FW,MF",24-187,7.7,102,152,67.1,1387,204,63,81,77.8,31,41,75.6,3,11,27.3,0,0.7,0.4,-0.7,3,11,0,0,14,Matches,Osasuna,2024
248,Iker Muñoz,es ESP,MF,22-185,5.6,203,256,79.3,3484,841,95,105,90.5,88,104,84.6,15,27,55.6,0,0.4,0.6,-0.4,4,22,4,1,18,Matches,Osasuna,2024
249,Kike Barja,es ESP,"FW,MF",28-038,2.9,65,101,64.4,1200,382,29,36,80.6,23,33,69.7,10,18,55.6,0,0.8,1.0,-0.8,8,3,7,6,3,Matches,Osasuna,2024
250,Nacho Vidal,es ESP,DF,30-105,1.4,37,49,75.5,613,304,21,23,91.3,8,11,72.7,7,11,63.6,0,0.0,0.0,0.0,0,1,0,0,1,Matches,Osasuna,2024
251,José Arnaiz,es ESP,"MF,FW",30-024,1.4,39,61,63.9,522,149,23,27,85.2,7,13,53.8,4,13,30.8,0,0.1,0.3,-0.1,2,2,3,2,3,Matches,Osasuna,2024
252,Aitor Fernández,es ESP,GK,34-006,1.0,29,45,64.4,1243,1147,0,0,,10,10,100.0,19,35,54.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches,Osasuna,2024
253,Unai García,es ESP,DF,33-095,0.7,35,37,94.6,789,278,4,4,100.0,27,29,93.1,4,4,100.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches,Osasuna,2024
254,Iker Benito,es ESP,"FW,MF",22-272,0.4,9,13,69.2,128,7,4,6,66.7,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches,Osasuna,2024
255,Javi Martínez,es ESP,MF,25-138,0.1,9,9,100.0,126,55,6,6,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,Osasuna,2024
256,Antonio Raillo,es ESP,DF,33-213,31.6,1360,1537,88.5,25723,9143,459,501,91.6,762,816,93.4,120,185,64.9,0,1.5,0.9,-1.5,12,73,6,0,91,Matches,Mallorca,2024
257,Sergi Darder,es ESP,"MF,FW",31-138,26.6,848,1113,76.2,16307,4950,374,421,88.8,315,394,79.9,137,241,56.8,5,3.3,4.6,1.7,47,105,31,13,122,Matches,Mallorca,2024
258,Johan Mojica,co COL,DF,32-261,28.3,1090,1482,73.5,19504,8669,546,619,88.2,395,514,76.8,135,262,51.5,2,4.0,4.2,-2.0,38,96,50,30,125,Matches,Mallorca,2024
259,Dominik Greif,sk SVK,GK,28-033,28.0,662,950,69.7,20017,15641,118,118,100.0,309,310,99.7,235,516,45.5,0,0.0,0.1,0.0,0,13,1,0,0,Matches,Mallorca,2024
260,Martin Valjent,sk SVK,DF,29-149,27.7,1030,1210,85.1,19326,7499,386,422,91.5,511,547,93.4,115,201,57.2,0,0.1,0.4,-0.1,3,67,4,0,77,Matches,Mallorca,2024
261,Samu Costa,pt POR,MF,24-163,25.6,1003,1245,80.6,17961,5129,448,516,86.8,430,504,85.3,109,158,69.0,2,1.2,1.7,0.8,14,98,13,5,101,Matches,Mallorca,2024
262,Pablo Maffeo,es ESP,DF,27-301,24.5,685,971,70.5,11736,4907,343,382,89.8,255,358,71.2,76,176,43.2,1,4.0,3.1,-3.0,27,46,30,22,66,Matches,Mallorca,2024
263,Dani Rodríguez,es ESP,"MF,FW",36-337,21.8,462,670,69.0,7766,2403,240,295,81.4,158,212,74.5,51,121,42.1,7,3.0,3.3,4.0,31,41,15,6,74,Matches,Mallorca,2024
264,Vedat Muriqi,xk KVX,FW,31-015,19.6,254,416,61.1,3635,762,152,212,71.7,71,131,54.2,14,22,63.6,2,2.0,1.7,0.0,23,21,6,0,28,Matches,Mallorca,2024
265,Cyle Larin,ca CAN,FW,30-022,18.0,193,289,66.8,2404,346,125,164,76.2,49,79,62.0,5,8,62.5,2,1.4,0.4,0.6,7,10,2,0,18,Matches,Mallorca,2024
266,Omar Mascarell,gq EQG,MF,32-096,19.1,666,783,85.1,11644,3155,303,327,92.7,277,306,90.5,68,109,62.4,0,0.1,0.2,-0.1,2,51,2,0,59,Matches,Mallorca,2024
267,Copete,es ESP,DF,25-211,16.0,617,740,83.4,11727,4520,230,253,90.9,312,346,90.2,69,119,58.0,0,0.0,0.1,0.0,0,35,4,0,47,Matches,Mallorca,2024
268,Manu Morlanes,es ESP,MF,26-117,14.4,594,665,89.3,9630,2895,287,309,92.9,254,282,90.1,33,46,71.7,0,0.3,0.7,-0.3,10,80,10,3,83,Matches,Mallorca,2024
269,Roberto Navarro,es ESP,"MF,FW",23-027,14.2,357,473,75.5,5122,1424,222,258,86.0,106,141,75.2,19,37,51.4,0,1.9,1.5,-1.9,13,27,14,3,51,Matches,Mallorca,2024
270,Takuma Asano,jp JPN,"FW,MF",30-180,11.0,136,203,67.0,1928,471,84,99,84.8,45,63,71.4,4,16,25.0,0,0.6,0.6,-0.6,5,8,3,2,19,Matches,Mallorca,2024
271,Antonio Sánchez,es ESP,"MF,DF",28-128,13.6,342,470,72.8,5724,1676,170,198,85.9,122,161,75.8,35,70,50.0,0,0.6,0.8,-0.6,5,31,7,3,35,Matches,Mallorca,2024
272,Leo Román,es ESP,GK,24-307,6.0,120,206,58.3,4073,3278,8,8,100.0,57,59,96.6,55,139,39.6,0,0.0,0.0,0.0,0,4,0,0,0,Matches,Mallorca,2024
273,Mateu Morey,es ESP,DF,25-068,5.5,203,265,76.6,3098,904,113,128,88.3,77,94,81.9,11,26,42.3,0,0.3,0.2,-0.3,4,10,3,1,12,Matches,Mallorca,2024
274,Toni Lato,es ESP,DF,27-169,5.1,185,253,73.1,3256,1164,91,111,82.0,79,104,76.0,15,30,50.0,0,0.4,0.6,-0.4,5,14,10,9,21,Matches,Mallorca,2024
275,Abdón Prats,es ESP,"FW,MF",32-153,5.1,58,87,66.7,837,164,34,46,73.9,16,24,66.7,4,6,66.7,0,0.1,0.1,-0.1,3,5,1,0,7,Matches,Mallorca,2024
276,Marc Domenech,es ESP,"FW,MF",19-128,2.3,25,38,65.8,354,101,17,22,77.3,5,9,55.6,2,3,66.7,0,0.2,0.2,-0.2,5,0,3,2,3,Matches,Mallorca,2024
277,Valery Fernández,es ESP,"MF,FW",25-167,3.3,76,87,87.4,994,192,48,56,85.7,20,22,90.9,3,3,100.0,0,0.0,0.1,0.0,1,4,2,1,5,Matches,Mallorca,2024
278,Chiquinho,pt POR,"MF,FW",25-093,1.6,22,34,64.7,299,87,13,15,86.7,5,9,55.6,2,7,28.6,0,0.0,0.1,0.0,2,0,0,0,1,Matches,Mallorca,2024
279,Siebe Van Der Heyden,be BEL,"DF,MF",26-344,1.1,65,73,89.0,1164,308,31,33,93.9,26,30,86.7,7,9,77.8,0,0.1,0.1,-0.1,1,7,1,1,5,Matches,Mallorca,2024
280,David López,es ESP,DF,22-095,0.9,31,35,88.6,531,172,15,15,100.0,14,15,93.3,2,3,66.7,0,0.0,0.0,0.0,0,0,1,0,2,Matches,Mallorca,2024
281,Javier Llabrés,es ESP,FW,22-240,0.6,20,24,83.3,294,88,12,12,100.0,7,10,70.0,1,2,50.0,0,0.1,0.1,-0.1,1,0,1,1,3,Matches,Mallorca,2024
282,Jan Salas,es ESP,MF,19-272,0.3,13,16,81.3,162,36,7,7,100.0,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,3,0,0,1,Matches,Mallorca,2024
283,Daniel Luna,co COL,MF,22-002,0.2,8,13,61.5,88,16,5,6,83.3,2,5,40.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,Mallorca,2024
284,Álex Remiro,es ESP,GK,30-046,33.0,866,1182,73.3,24609,17289,115,115,100.0,467,476,98.1,284,585,48.5,0,0.0,0.0,0.0,1,12,0,0,1,Matches,Real Sociedad,2024
285,Martín Zubimendi,es ESP,MF,26-096,29.9,1340,1610,83.2,23051,6783,620,708,87.6,590,671,87.9,106,166,63.9,1,1.0,1.1,0.0,17,154,21,1,177,Matches,Real Sociedad,2024
286,Sergio Gómez,es ESP,"MF,DF",24-247,28.2,1010,1354,74.6,16187,4269,560,624,89.7,316,404,78.2,99,220,45.0,5,8.4,6.8,-3.4,49,74,22,10,89,Matches,Real Sociedad,2024
287,Jon Aramburu,ve VEN,DF,22-290,24.7,1065,1363,78.1,15862,6633,569,636,89.5,413,534,77.3,46,115,40.0,1,1.1,1.3,-0.1,13,79,11,6,93,Matches,Real Sociedad,2024
288,Igor Zubeldia,es ESP,DF,28-040,22.7,1121,1316,85.2,22106,6908,336,374,89.8,681,727,93.7,97,186,52.2,0,0.4,0.5,-0.4,4,82,6,0,91,Matches,Real Sociedad,2024
289,Mikel Oyarzabal,es ESP,"FW,MF",28-018,22.3,332,455,73.0,4386,800,215,253,85.0,89,120,74.2,8,18,44.4,2,2.3,1.8,-0.3,13,19,10,3,27,Matches,Real Sociedad,2024
290,Takefusa Kubo,jp JPN,"MF,FW",23-339,22.9,588,822,71.5,8282,2524,366,429,85.3,149,216,69.0,39,81,48.1,0,3.9,3.1,-3.9,43,52,36,9,89,Matches,Real Sociedad,2024
291,Nayef Aguerd,ma MAR,DF,29-040,19.6,1213,1389,87.3,23636,8366,438,462,94.8,618,662,93.4,144,229,62.9,0,0.1,0.3,-0.1,5,87,3,1,75,Matches,Real Sociedad,2024
292,Javi López,es ESP,DF,23-045,19.5,733,934,78.5,11878,4384,397,436,91.1,274,361,75.9,51,89,57.3,0,0.4,1.0,-0.4,5,40,14,7,62,Matches,Real Sociedad,2024
293,Luka Sučić,hr CRO,MF,22-243,17.8,640,782,81.8,10096,2040,343,383,89.6,227,261,87.0,48,77,62.3,1,1.8,2.0,-0.8,22,47,12,2,72,Matches,Real Sociedad,2024
294,Brais Méndez,es ESP,MF,28-122,15.5,560,720,77.8,8469,2446,318,364,87.4,175,217,80.6,41,86,47.7,1,1.8,1.9,-0.8,20,62,11,2,81,Matches,Real Sociedad,2024
295,Aritz Elustondo,es ESP,DF,31-042,13.2,620,733,84.6,11704,4041,232,247,93.9,318,354,89.8,62,107,57.9,0,0.2,0.3,-0.2,4,50,2,0,45,Matches,Real Sociedad,2024
296,Ander Barrenetxea,es ESP,"MF,FW",23-133,12.3,335,469,71.4,5541,1269,185,221,83.7,98,138,71.0,40,62,64.5,3,1.8,2.2,1.2,15,22,19,3,44,Matches,Real Sociedad,2024
297,Sheraldo Becker,sr SUR,"FW,MF",30-089,11.1,200,313,63.9,3391,742,105,132,79.5,77,121,63.6,15,33,45.5,1,2.0,1.7,-1.0,8,6,17,5,23,Matches,Real Sociedad,2024
298,Aihen Muñoz,es ESP,DF,27-266,10.3,378,533,70.9,6030,2382,194,215,90.2,149,205,72.7,24,85,28.2,0,0.2,0.1,-0.2,2,32,1,1,31,Matches,Real Sociedad,2024
299,Pablo Marín,es ESP,MF,21-310,10.6,271,348,77.9,4336,764,126,157,80.3,118,143,82.5,18,28,64.3,2,0.8,0.7,1.2,12,22,8,2,32,Matches,Real Sociedad,2024
300,Beñat Turrientes,es ESP,MF,23-098,9.1,322,364,88.5,5535,1150,159,174,91.4,118,127,92.9,33,48,68.8,0,0.2,0.4,-0.2,3,31,2,1,36,Matches,Real Sociedad,2024
301,Orri Steinn Óskarsson,is ISL,FW,20-253,10.5,104,197,52.8,1158,178,72,113,63.7,22,38,57.9,0,6,0.0,0,0.2,0.5,-0.2,5,4,3,1,9,Matches,Real Sociedad,2024
302,Jon Pacheco,es ESP,DF,24-121,8.5,381,460,82.8,7449,2111,136,154,88.3,200,216,92.6,45,82,54.9,0,0.0,0.2,0.0,0,24,2,0,23,Matches,Real Sociedad,2024
303,Olasagasti,es ESP,MF,24-266,8.8,284,375,75.7,4473,854,150,181,82.9,104,129,80.6,20,38,52.6,1,0.8,0.7,0.2,6,30,8,0,36,Matches,Real Sociedad,2024
304,Hamari Traoré,ml MLI,DF,33-102,6.4,324,391,82.9,5622,1930,151,164,92.1,141,172,82.0,31,47,66.0,1,0.2,0.4,0.8,2,15,4,1,24,Matches,Real Sociedad,2024
305,Jon Martin,es ESP,DF,19-128,8.0,394,458,86.0,7806,2563,110,128,85.9,251,272,92.3,32,50,64.0,1,0.2,0.1,0.8,3,16,2,0,29,Matches,Real Sociedad,2024
306,Umar Sadiq,ng NGA,FW,28-096,2.5,25,48,52.1,349,77,17,28,60.7,6,10,60.0,1,2,50.0,0,0.2,0.1,-0.2,1,2,0,0,5,Matches,Real Sociedad,2024
307,Unai Marrero,es ESP,GK,23-212,1.0,22,30,73.3,591,369,4,4,100.0,10,11,90.9,8,14,57.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Real Sociedad,2024
308,Arsen Zakharyan,ru RUS,"MF,FW",21-348,0.8,28,33,84.8,451,106,17,20,85.0,6,7,85.7,4,5,80.0,0,0.1,0.1,-0.1,1,3,1,0,3,Matches,Real Sociedad,2024
309,Urko González,es ESP,MF,24-050,0.5,10,17,58.8,171,61,7,11,63.6,1,3,33.3,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,Real Sociedad,2024
310,Arkaitz Mariezkurrena,es ESP,"MF,FW",20-034,1.2,25,40,62.5,361,75,17,23,73.9,6,8,75.0,1,3,33.3,0,0.0,0.0,0.0,1,1,2,0,3,Matches,Real Sociedad,2024
311,Álvaro Odriozola,es ESP,DF,29-146,0.5,22,30,73.3,344,111,11,12,91.7,6,12,50.0,3,4,75.0,0,0.0,0.0,0.0,0,4,1,1,3,Matches,Real Sociedad,2024
312,Daniel Díaz,es ESP,MF,18-321,0.1,1,3,33.3,20,0,0,0,,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Real Sociedad,2024
313,Luken Beitia,es ESP,DF,20-313,0.1,5,5,100.0,108,22,1,1,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Real Sociedad,2024
314,Jon Magunazelaia,es ESP,MF,24-300,0.1,7,13,53.8,117,30,3,7,42.9,4,4,100.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,1,Matches,Real Sociedad,2024
315,Cristhian Mosquera,es ESP,DF,20-316,32.9,1643,1798,91.4,29479,10194,658,696,94.5,854,901,94.8,118,165,71.5,0,0.0,0.2,0.0,0,107,1,0,109,Matches,Valencia,2024
316,Diego López,es ESP,"MF,FW",22-361,27.7,607,845,71.8,9404,2253,333,408,81.6,223,284,78.5,33,53,62.3,5,4.5,4.3,0.5,33,35,30,7,77,Matches,Valencia,2024
317,Giorgi Mamardashvili,ge GEO,GK,24-222,30.0,611,931,65.6,17683,13046,98,98,100.0,327,332,98.5,186,498,37.3,0,0.1,0.0,-0.1,2,9,1,0,0,Matches,Valencia,2024
318,César Tárrega,es ESP,DF,23-072,29.6,1187,1415,83.9,22708,7875,395,426,92.7,681,743,91.7,105,210,50.0,0,0.1,0.2,-0.1,3,74,1,0,71,Matches,Valencia,2024
319,Luis Rioja,es ESP,"MF,FW",31-205,28.6,733,1093,67.1,12178,3414,385,459,83.9,269,370,72.7,61,165,37.0,3,3.7,4.5,-0.7,31,40,51,22,88,Matches,Valencia,2024
320,Javier Guerra,es ESP,MF,22-128,25.9,887,1147,77.3,14972,4705,441,507,87.0,356,418,85.2,73,137,53.3,3,2.9,3.1,0.1,22,114,22,4,132,Matches,Valencia,2024
321,Dimitri Foulquier,fr FRA,DF,32-047,24.9,978,1241,78.8,15339,5720,538,575,93.6,383,485,79.0,46,114,40.4,1,1.4,2.0,-0.4,10,77,15,6,95,Matches,Valencia,2024
322,Hugo Duro,es ESP,FW,25-180,21.8,275,395,69.6,3844,478,155,199,77.9,93,127,73.2,10,20,50.0,2,1.2,0.5,0.8,13,18,3,0,28,Matches,Valencia,2024
323,Enzo Barrenechea,ar ARG,MF,23-352,21.2,999,1164,85.8,17286,4812,466,515,90.5,427,473,90.3,90,131,68.7,2,0.9,1.0,1.1,14,130,7,0,113,Matches,Valencia,2024
324,Domingos André Ribeiro Almeida,pt POR,"MF,FW",24-344,19.5,699,824,84.8,11327,3148,362,386,93.8,247,283,87.3,63,101,62.4,3,2.4,4.0,0.6,37,88,20,5,126,Matches,Valencia,2024
325,José Luis Gayà,es ESP,DF,29-349,17.3,671,864,77.7,11668,3591,315,351,89.7,287,343,83.7,62,132,47.0,1,2.5,3.1,-1.5,23,40,29,22,49,Matches,Valencia,2024
326,José Luis García Vayá,es ESP,MF,26-271,17.4,883,1133,77.9,16590,5614,382,425,89.9,361,433,83.4,120,226,53.1,2,2.1,2.5,-0.1,31,150,5,3,130,Matches,Valencia,2024
327,Yarek Gasiorowski,es ESP,DF,20-117,10.5,387,482,80.3,7508,2627,126,144,87.5,217,247,87.9,42,80,52.5,0,0.1,0.3,-0.1,3,43,3,1,38,Matches,Valencia,2024
328,Jesus Vazquez,es ESP,DF,22-127,9.1,305,399,76.4,4199,1203,190,210,90.5,103,133,77.4,7,25,28.0,0,0.6,0.6,-0.6,3,16,3,2,20,Matches,Valencia,2024
329,Thierry Correia,pt POR,DF,26-061,8.5,330,441,74.8,5750,2179,160,183,87.4,137,172,79.7,31,67,46.3,0,0.3,0.8,-0.3,5,23,12,3,44,Matches,Valencia,2024
330,Umar Sadiq,ng NGA,FW,28-096,7.5,107,150,71.3,1494,204,66,86,76.7,33,43,76.7,3,5,60.0,0,0.7,0.4,-0.7,6,3,0,0,7,Matches,Valencia,2024
331,Dani Gómez,es ESP,FW,26-283,5.9,62,83,74.7,741,120,44,50,88.0,15,23,65.2,0,0,,0,0.0,0.1,0.0,1,3,2,0,6,Matches,Valencia,2024
332,Rafa Mir,es ESP,"FW,MF",27-325,6.6,109,144,75.7,1666,289,59,70,84.3,35,44,79.5,9,12,75.0,2,0.7,0.4,1.3,2,11,3,1,16,Matches,Valencia,2024
333,Mouctar Diakhaby,gn GUI,DF,28-141,4.1,113,138,81.9,2125,902,45,50,90.0,57,61,93.4,10,23,43.5,0,0.0,0.0,0.0,1,4,2,0,9,Matches,Valencia,2024
334,Hugo Guillamón,es ESP,MF,25-098,4.0,154,188,81.9,2607,748,75,86,87.2,64,75,85.3,13,23,56.5,0,0.0,0.3,0.0,2,11,4,1,15,Matches,Valencia,2024
335,Stole Dimitrievski,mk MKD,GK,31-135,4.0,68,133,51.1,2105,1516,6,6,100.0,35,37,94.6,27,90,30.0,0,0.0,0.0,0.0,0,3,0,0,0,Matches,Valencia,2024
336,Francisco Perez,es ESP,"MF,FW",22-242,5.1,131,180,72.8,1971,383,85,94,90.4,31,47,66.0,11,20,55.0,0,2.4,1.5,-2.4,6,5,6,2,10,Matches,Valencia,2024
337,Sergi Canós,es ESP,"MF,FW",28-096,4.0,89,155,57.4,1455,409,50,62,80.6,31,51,60.8,6,23,26.1,1,0.2,0.2,0.8,4,9,3,3,9,Matches,Valencia,2024
338,Ivan Jaime Pajuelo,es ESP,MF,24-225,2.1,64,80,80.0,925,298,38,42,90.5,22,26,84.6,2,5,40.0,0,0.3,0.3,-0.3,3,4,6,1,11,Matches,Valencia,2024
339,Germán Valera,es ESP,MF,23-054,1.6,34,47,72.3,474,50,20,24,83.3,13,14,92.9,1,7,14.3,0,0.0,0.0,0.0,1,3,0,0,2,Matches,Valencia,2024
340,Max Aarons,eng ENG,"DF,MF",25-125,1.2,29,42,69.0,414,130,16,22,72.7,11,16,68.8,1,2,50.0,0,0.0,0.0,0.0,1,1,0,0,4,Matches,Valencia,2024
341,Maximiliano Caufriez,be BEL,DF,28-082,1.0,11,14,78.6,219,77,3,3,100.0,6,7,85.7,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,Valencia,2024
342,Rodrigo Abajas,es ESP,DF,21-362,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,Matches,Valencia,2024
343,Martín Tejón,es ESP,"MF,DF",21-027,0.5,20,26,76.9,328,95,10,12,83.3,8,10,80.0,1,2,50.0,0,0.0,0.0,0.0,1,2,0,0,4,Matches,Valencia,2024
344,Iker Córdoba,es ESP,DF,19-179,0.2,9,11,81.8,169,91,3,5,60.0,5,5,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,1,1,1,1,Matches,Valencia,2024
345,David Otorbi,es ESP,MF,17-205,0.2,2,4,50.0,27,4,2,3,66.7,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Valencia,2024
346,Alberto Marí,es ESP,FW,23-302,0.1,2,4,50.0,33,7,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,Valencia,2024
347,David Soria,es ESP,GK,32-035,34.0,458,920,49.8,19679,17461,28,28,100.0,131,133,98.5,299,754,39.7,0,0.0,0.1,0.0,0,47,1,0,1,Matches,Getafe,2024
348,Omar Alderete,py PAR,DF,28-134,30.4,693,1048,66.1,16292,7547,181,221,81.9,352,445,79.1,157,343,45.8,0,0.9,0.9,-0.9,11,125,15,2,105,Matches,Getafe,2024
349,Djené,tg TOG,"DF,MF",33-129,27.3,671,889,75.5,12233,4949,283,346,81.8,306,377,81.2,74,138,53.6,0,0.6,0.8,-0.6,9,75,13,6,73,Matches,Getafe,2024
350,Luis Milla,es ESP,MF,30-214,28.9,1061,1431,74.1,19373,5866,472,535,88.2,420,519,80.9,141,310,45.5,4,3.7,4.6,0.3,66,141,23,8,147,Matches,Getafe,2024
351,Iglesias,es ESP,DF,26-310,28.3,630,1102,57.2,11998,6242,277,361,76.7,271,442,61.3,76,237,32.1,1,2.2,1.8,-1.2,20,76,23,14,77,Matches,Getafe,2024
352,Diego Rico,es ESP,DF,32-075,27.3,942,1383,68.1,16835,9391,436,506,86.2,412,582,70.8,85,223,38.1,3,2.2,2.8,0.8,30,104,38,24,119,Matches,Getafe,2024
353,Mauro Arambarri,uy URU,MF,29-221,26.9,552,747,73.9,9481,2246,256,319,80.3,226,282,80.1,55,106,51.9,0,0.6,0.6,-0.6,15,71,3,1,70,Matches,Getafe,2024
354,Chrisantus Uche,ng NGA,"FW,MF",21-355,24.8,351,536,65.5,4622,1113,224,299,74.9,94,144,65.3,10,28,35.7,5,2.0,2.4,3.0,25,32,14,3,43,Matches,Getafe,2024
355,Domingos Duarte,pt POR,DF,30-060,17.0,427,548,77.9,9468,3214,103,127,81.1,248,280,88.6,73,134,54.5,0,0.1,0.1,-0.1,2,39,0,0,43,Matches,Getafe,2024
356,Carles Pérez,es ESP,"MF,FW",27-082,15.9,226,336,67.3,3455,818,130,165,78.8,73,103,70.9,16,40,40.0,0,1.5,1.3,-1.5,17,17,14,8,20,Matches,Getafe,2024
357,Bertuğ Yıldırım,tr TUR,FW,22-301,11.6,96,177,54.2,1271,287,53,95,55.8,30,50,60.0,4,9,44.4,0,1.2,0.6,-1.2,8,9,9,3,14,Matches,Getafe,2024
358,Alex Sola,es ESP,"MF,FW",25-334,11.4,155,242,64.0,2177,529,100,125,80.0,39,59,66.1,9,29,31.0,1,0.7,0.8,0.3,9,12,2,1,23,Matches,Getafe,2024
359,Ramón Terrats,es ESP,"MF,FW",24-203,10.1,175,267,65.5,2842,865,94,113,83.2,60,84,71.4,15,52,28.8,0,1.7,0.6,-1.7,11,24,4,0,29,Matches,Getafe,2024
360,Coba da Costa,es ESP,"MF,FW",22-287,9.9,162,256,63.3,2354,575,90,126,71.4,50,75,66.7,11,26,42.3,1,1.4,1.4,-0.4,9,10,9,6,13,Matches,Getafe,2024
361,Juan Berrocal,es ESP,DF,26-005,10.6,251,335,74.9,5214,2068,68,76,89.5,151,182,83.0,29,69,42.0,0,0.0,0.1,0.0,1,17,1,0,23,Matches,Getafe,2024
362,Allan Nyom,cm CMR,"DF,MF",36-364,7.7,234,295,79.3,3711,1322,122,133,91.7,93,113,82.3,14,39,35.9,1,0.3,0.3,0.7,4,22,5,4,20,Matches,Getafe,2024
363,Juanmi,es ESP,"FW,MF",31-354,7.4,104,136,76.5,1507,254,64,78,82.1,27,32,84.4,8,10,80.0,0,0.3,0.2,-0.3,4,3,4,0,8,Matches,Getafe,2024
364,Juan Bernat,es ESP,"MF,DF",32-069,7.0,132,187,70.6,1727,479,88,106,83.0,32,45,71.1,4,9,44.4,1,0.6,0.4,0.4,6,10,7,3,12,Matches,Getafe,2024
365,Álvaro Rodríguez,uy URU,FW,20-299,7.9,96,193,49.7,1322,268,62,95,65.3,26,58,44.8,4,10,40.0,0,0.2,0.3,-0.2,3,14,2,1,10,Matches,Getafe,2024
366,Carles Aleñá,es ESP,"MF,FW",27-124,5.0,93,117,79.5,1504,299,45,55,81.8,38,44,86.4,6,11,54.5,0,0.1,0.1,-0.1,3,9,3,1,12,Matches,Getafe,2024
367,Borja Mayoral,es ESP,FW,28-034,9.3,153,197,77.7,2196,369,91,104,87.5,41,53,77.4,10,14,71.4,1,0.9,0.3,0.1,6,10,2,0,11,Matches,Getafe,2024
368,Jesús Santiago,es ESP,MF,20-349,3.6,77,110,70.0,1166,352,45,60,75.0,26,33,78.8,3,11,27.3,0,0.0,0.2,0.0,0,9,0,0,12,Matches,Getafe,2024
369,Nabil Aberdin,fr FRA,MF,22-259,2.9,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6,Matches,Getafe,2024
370,Peter González,do DOM,"MF,FW",22-288,4.4,74,108,68.5,1064,311,39,49,79.6,27,39,69.2,3,7,42.9,0,0.1,0.3,-0.1,4,1,5,3,5,Matches,Getafe,2024
371,Abdoulaye Keita,es ESP,"FW,MF",22-250,1.1,15,27,55.6,257,66,8,11,72.7,6,6,100.0,1,6,16.7,0,0.0,0.1,0.0,0,3,1,1,2,Matches,Getafe,2024
372,Alberto Risco,es ESP,"MF,FW",19-252,0.8,25,34,73.5,340,98,15,18,83.3,6,8,75.0,2,4,50.0,0,0.1,0.2,-0.1,4,1,4,3,3,Matches,Getafe,2024
373,John Joe,ie IRL,"MF,FW",21-197,0.5,16,20,80.0,193,48,12,13,92.3,2,4,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Getafe,2024
374,Gorka Rivera Alonso,es ESP,"DF,MF",20-281,0.2,5,11,45.5,94,27,1,2,50.0,4,7,57.1,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,Getafe,2024
375,Ismael Bekhoucha,ma MAR,"DF,MF",20-170,0.1,3,5,60.0,37,9,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Getafe,2024
376,David Argüelles,es ESP,MF,23-128,0.1,3,5,60.0,25,2,3,4,75.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Getafe,2024
377,Joan García,es ESP,GK,24-005,34.0,793,1118,70.9,22475,17300,158,160,98.8,355,359,98.9,275,590,46.6,0,0.0,0.1,0.0,0,21,1,0,1,Matches,Espanyol,2024
378,Omar El Hilali,ma MAR,DF,21-239,32.1,1138,1436,79.2,21391,7991,444,500,88.8,555,655,84.7,125,234,53.4,2,0.8,1.3,1.2,8,76,11,6,82,Matches,Espanyol,2024
379,Marash Kumbulla,al ALB,DF,25-090,30.0,1074,1263,85.0,21053,7720,337,365,92.3,600,640,93.8,127,228,55.7,0,0.0,0.3,0.0,1,33,2,1,59,Matches,Espanyol,2024
